codigo,descripcion,merma,precio_unidad,proveedor_precio,formato_compra,precio_original,unidad_original,fecha_precio,url_precio,observaciones_precio
ING-0058,ABANICO CERDO IBÉRICO CONGELADO MAKRO 1K,3.0,18.65,MAKRO,"Abanico cerdo ibérico congelado calibre 0,8 kg/pieza",18.65,1 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X151138/0032/0021/Abanico-de-cerdo-ib%C3%A9rico-congelado-precio-kg,Precio con IVA/IGIC incluido. €/kg. Merma baja por pieza limpia congelada.
ING-0202,ATUN LOMO 3-5K,3.0,,PENDIENTE,,,,2026-06-13,,Pescado/marisco: reservado para lote04 pescado y marisco.
ING-0147,ATUN LOMO VACÍO refrigerado 3-5K,3.0,,PENDIENTE,,,,2026-06-13,,Pescado/marisco: reservado para lote04 pescado y marisco.
ING-0205,BACALAO LOMO 2K PUNTO DE SAL,0.0,,PENDIENTE,,,,2026-06-13,,Pescado/marisco: reservado para lote04 pescado y marisco.
ING-0206,BACALAO LOMO EXTRA 250/300 MAKRO,0.0,,PENDIENTE,,,,2026-06-13,,Pescado/marisco: reservado para lote04 pescado y marisco.
ING-0207,BACALAO LOMO JUMBO 1K,0.0,,PENDIENTE,,,,2026-06-13,,Pescado/marisco: reservado para lote04 pescado y marisco.
ING-0060,BACON PIEZA,2.0,,PENDIENTE,,,,2026-06-13,,Bacon pieza no localizado con equivalente oficial claro; no sustituyo por panceta fresca.
ING-0062,CABEZA DE LOMO,5.0,6.35,CONSUM,Cabeza lomo de cerdo bandeja 600 g aprox.,6.35,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria/cerdo/2159,Precio con IVA. €/kg. Merma estimada por grasa y recorte.
ING-0745,CALDO SOLUBLE HS 1KG #POLLO,0.0,5.49,MAKRO,METRO Chef caldo soluble pollo cubo 1 kg,5.49,1 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X128196/0033/0021/METRO-Chef-caldo-soluble-pollo-cubo-1kg,Precio con IVA/IGIC incluido. €/kg.
ING-0063,CANAL CERDO,35.0,,PENDIENTE,,,,2026-06-13,,Canal de cerdo no comparable con retail; requiere proveedor cárnico profesional.
ING-0033,CANAL MEDIA TERNERA,35.0,,PENDIENTE,,,,2026-06-13,,Media canal de ternera no comparable con retail; requiere proveedor cárnico profesional.
ING-0001,CARCASA POLLO,0.0,1.55,CONSUM,CONSUM carcasas de pollo,1.55,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria/aves/2156,"Precio con IVA. €/kg. Uso para fondos, merma operativa 0%."
ING-0064,CARETA CERDO,15.0,6.99,CONSUM,Caretas de cerdo origen España pieza precio aprox.,6.99,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria-corte/cerdo/4062,Precio con IVA. €/kg. Merma estimada por limpieza y recortes.
ING-0065,CARETA CERDO MEDIA SIN OREJA 420 g mercadona,15.0,6.99,CONSUM,Caretas de cerdo origen España pieza precio aprox.,6.99,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria-corte/cerdo/4062,Equivalente sin ajuste por oreja. Precio con IVA. €/kg.
ING-0221,CARNE BUEY DE MAR COCIDO 500G,0.0,,PENDIENTE,,,,2026-06-13,,Pescado/marisco: reservado para lote04 pescado y marisco.
ING-0222,CARNE DE NECORA 1K,0.0,,PENDIENTE,,,,2026-06-13,,Pescado/marisco: reservado para lote04 pescado y marisco.
ING-0747,CARNE PIMIENTO CHORICERO 140G X3,0.0,,PENDIENTE,,,,2026-06-13,,Producto de almacén seco. Lo dejo para lote de conservas/salsas.
ING-0223,CARNE VIEIRA 8-12PIEZAS 800g,0.0,,PENDIENTE,,,,2026-06-13,,Pescado/marisco: reservado para lote04 pescado y marisco.
ING-0066,CARRILLADA,5.0,13.39,CONSUM,Carrillada de cerdo bandeja 400 g aprox.,13.39,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria/cerdo/2159,Precio con IVA. €/kg. Merma baja por pieza ya limpia.
ING-0034,CARRILLADA TERNERA,6.0,17.5,CONSUM,Carrillada de vacuno congelada pieza precio aprox.,17.5,1 kg,2026-06-13,https://tienda.consum.es/es/p/carrillada-de-vacuno-congelada/7468049,Precio con IVA. €/kg. Merma estimada por limpieza ligera.
ING-0068,CHORIZO GUISAR,2.0,7.99,CONSUM,Chorizo tipo pueblo,7.99,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria/embutido/2166,Precio con IVA. €/kg. Equivalente para guisar.
ING-0069,CHORIZO PICADILLO 800 gr,2.0,,PENDIENTE,,,,2026-06-13,,Chorizo picadillo 800 g no localizado con equivalente oficial claro.
