codigo,descripcion,merma,precio_unidad,proveedor_precio,formato_compra,precio_original,unidad_original,fecha_precio,url_precio,observaciones_precio
ING-0561,CLARA PASTEURIZADA,0.0,2.85,CONSUM,MONTERDE clara de huevo botella 1 L,2.85,1 L,2026-06-13,https://tienda.consum.es/es/c/despensa/lacteos-huevos/huevos/2065,"Precio con IVA. €/L. Producto pasteurizado, merma 0%."
ING-0563,Cobertura leche SICAO,0.0,12.756,MAKRO,"METRO Chef cobertura gota 38% bolsa 2,5 kg",31.89,"2,5 kg",2026-06-13,https://tienda.makro.es/shop/pv/BTY-X192446/0032/0021/METRO-Chef-cobertura-gota-38-2-5kG,Producto equivalente; no marca SICAO. Precio con IVA/IGIC incluido. Convertido a €/kg.
ING-0568,COLORANTE Amarillo huevo PASTA 200G,0.0,,PENDIENTE,,,,2026-06-13,,Colorante de pastelería/decoración: reservar para lote08/lote12. No actualizar en lote lácteos.
ING-0755,ESPARRAGO YEMAS FINA 1ªARO,0.0,,PENDIENTE,,,,2026-06-13,,Espárrago conserva: reservar para lote09 almacén seco/conservas.
ING-0604,HUEVO ENTERO PASTEURIZADO,0.0,5.49,MAKRO,METRO Chef huevo líquido pasteurizado botella 1 L,5.49,1 L,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X198469/0032/0021/METRO-Chef-huevo-l%C3%ADquido-botella-1-L,"Precio con IVA/IGIC incluido. €/L. Producto pasteurizado, merma 0%."
ING-0605,HUEVOS,12.0,0.25,CONSUM,MONTERDE huevos M medianos docena,3.0,12 uds,2026-06-13,https://tienda.consum.es/es/p/huevos-m-medianos-docena/7098382,Precio con IVA. Normalizado a €/huevo. Merma estimada 12% por cáscara.
ING-0606,HUEVOS CODORNIZ,18.0,0.1028,CONSUM,MONTERDE huevo codorniz cartón 18 unidades,1.85,18 uds,2026-06-13,https://tienda.consum.es/es/c/despensa/lacteos-huevos/huevos/2065,Precio con IVA. Normalizado a €/huevo. Merma estimada 18% por cáscara.
ING-0608,LECHE CONDENSADA 450 G,0.0,5.22,CONSUM,CONSUM leche condensada entera Sirvefácil 450 g,2.35,450 g,2026-06-13,https://tienda.consum.es/es/p/sirope-de-caramelo-bote/7238355,Precio con IVA. Convertido a €/kg desde 450 g.
ING-0958,LECHE CONDENSADA 450 g sSIRVE FACIL,0.0,5.22,CONSUM,CONSUM leche condensada entera Sirvefácil 450 g,2.35,450 g,2026-06-13,https://tienda.consum.es/es/p/sirope-de-caramelo-bote/7238355,Precio con IVA. Convertido a €/kg desde 450 g.
ING-0959,LECHE CONDENSADA MONODOSIS 25 G X 50 UNI,0.0,18.08,MAKRO,LA LECHERA leche condensada semidesnatada 20 g x 50 sobres,18.08,50 sobres x 20 g = 1 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X215746/0032/0021/La-Lechera-leche-condensada-semi-desnatada-20-g-contiene-50-sobres-%28total-1000-g%29,"Producto equivalente: 20 g x 50, no 25 g x 50. Precio con IVA/IGIC incluido. Normalizado a €/kg."
