codigo,descripcion,merma,precio_unidad,proveedor_precio,formato_compra,precio_original,unidad_original,fecha_precio,url_precio,observaciones_precio
ING-0058,ABANICO CERDO IBÉRICO CONGELADO MAKRO 1K,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: abanico cerdo ibérico ya tratado en lote03 carnes.
ING-0523,ALBARICOQUE mitad congelado,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado/fruta: albaricoque congelado ya tratado o revisado en lote06 frutas.
ING-0725,ALGA ESPAGUETI DE MAR,0.0,,PENDIENTE,,,,2026-06-13,,Alga espagueti de mar sigue pendiente: no localizado precio oficial claro.
ING-0291,ALGA ESPAGUETI DE MAR/ CODIUM,0.0,,PENDIENTE,,,,2026-06-13,,Alga/codium sigue pendiente: no localizado precio oficial claro.
ING-0530,ARANDANO CONGELADO 1k,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: arándano congelado/frutos del bosque ya tratado en lote06 frutas.
ING-0148,BACALAO LIMPIO cortado descongelado a la sal 500 g,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: bacalao limpio tratado en lote04 pescado.
ING-0450,BOLETUS ENTEROS CONGELADOS 750G,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: boletus enteros congelados tratado en lote05 verduras.
ING-0451,BOLETUS TROCEADO CONGELADOS,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: boletus troceado congelado tratado en lote05 verduras.
ING-0129,CARRE cuna de cordero lechal congelado,0.0,,PENDIENTE,,,,2026-06-13,,Carré/cuna de cordero lechal congelado: no localizado precio exacto; no sustituyo por chuletas frescas.
ING-0074,COCHINILLO CONGELADO 4-5 K MAKRO,35.0,18.1,MAKRO,METRO Chef cochinillo 4-5 kg congelado,18.1,€/kg,2026-06-13,https://tienda.makro.es/ordercapture/uidispatcher/static/shop/pv/BTY-X216048/0032/0021/METRO-Chef-Cochinillo-4-5-Kg-congelado,Precio con IVA/IGIC incluido. €/kg. Merma por hueso y piel.
ING-0075,COCHINILLO CONGELADO 5-6 K MAKRO,35.0,14.25,MAKRO,METRO Chef cochinillo 5-6 kg congelado,14.25,€/kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X51218/0032/0021/METRO-Chef-Cochinillo-5-6-kg-congelado-precio-kg,Precio con IVA/IGIC incluido. €/kg. Merma por hueso y piel.
ING-0073,COCHINILLO CONGELADO2-4 K MAKRO,35.0,16.45,MAKRO,METRO Chef cochinillo 2-4 kg congelado,16.45,€/kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X219925/0032/0021/METRO-Chef-Cochinillo-2-4-Kg-congelado,Precio con IVA/IGIC incluido. €/kg. Merma por hueso y piel.
ING-0076,"COCHINILLO PIERNA CONGELADO 1,5-2,5K MAKRO",30.0,14.8,MAKRO,"METRO Chef pierna de cochinillo congelada 0,3-1 kg",14.8,€/kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X51006/0032/0021/METRO-Chef-Pierna-de-cochinillo-congelada-03-1-kg-precio-kg,Precio con IVA/IGIC incluido. €/kg. Merma por hueso.
ING-0568,COLORANTE Amarillo huevo PASTA 200G,0.0,,PENDIENTE,,,,2026-06-13,,Colorante de pastelería/decoración: reservado para lote08/lote12.
ING-0569,COLORANTE BLANCO PASTA COSMO,0.0,,PENDIENTE,,,,2026-06-13,,Colorante de pastelería/decoración: reservado para lote08/lote12.
ING-0570,COLORANTE MARRON PASTA 200G,0.0,,PENDIENTE,,,,2026-06-13,,Colorante de pastelería/decoración: reservado para lote08/lote12.
ING-0571,COLORANTE NARANJA PASTA 200 G,0.0,,PENDIENTE,,,,2026-06-13,,Colorante de pastelería/decoración: reservado para lote08/lote12.
ING-0572,COLORANTE NEGRO PASTA 200 G,0.0,,PENDIENTE,,,,2026-06-13,,Colorante de pastelería/decoración: reservado para lote08/lote12.
ING-0573,COLORANTE ROJO PASTA 200G,0.0,,PENDIENTE,,,,2026-06-13,,Colorante de pastelería/decoración: reservado para lote08/lote12.
ING-0574,COLORANTE VERDE PASTA 200G,0.0,,PENDIENTE,,,,2026-06-13,,Colorante de pastelería/decoración: reservado para lote08/lote12.
ING-0575,COLORANTE VIOLETA PASTA (AZUL),0.0,,PENDIENTE,,,,2026-06-13,,Colorante de pastelería/decoración: reservado para lote08/lote12.
ING-0576,COLORANTEAMARILLO LIMÓN PASTA 200g,0.0,,PENDIENTE,,,,2026-06-13,,Colorante de pastelería/decoración: reservado para lote08/lote12.
ING-0080,"COMPANGO 1,5K",0.0,11.8,CONSUM,MAYBE compango asturiano 250 g,2.95,250 g,2026-06-13,https://tienda.consum.es/es/p/compango-asturiano/7426898,"Precio con IVA. Convertido a €/kg; equivalente retail al formato 1,5 kg."
ING-0754,ESPAGHETTI ARO 1 KG,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: spaghetti tratado en lote09 almacén seco.
ING-0786,FIDEO ARROZ 250G,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: fideo de arroz tratado en lote02/lote09.
ING-0584,FIDEO CHOCOLATE 1K,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: fideo de chocolate tratado en lote08 pastelería.
ING-0785,FIDEO FINO Nº4,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: fideo fino nº4 tratado en lote09 almacén seco.
ING-0004,FOIE ESCALOPES 160G CONGELADO,,,PENDIENTE,,,,2026-06-13,,No procesado en este lote.
ING-0588,FRESÓN CONGELADO 1K,0.0,,PENDIENTE,,,,2026-06-13,,Fresón congelado: reservar para revisión de fruta congelada; no localizado equivalente exacto.
ING-0589,FRUTAS BOSQUE COCTEL CONGELADO 1K,0.0,,PENDIENTE,,,,2026-06-13,,Frutas del bosque cóctel congelado: ya tratado como referencia en lote06 frutas.
ING-0093,JAMON YORK BARRA 3K,0.0,19.9,CONSUM,Jamón cocido extra 92% carne al peso/barra,19.9,€/kg,2026-06-13,https://tienda.consum.es/es/p/jamon-cocido-extra-92-carne/7070469,Más exacto para barra que la referencia de lonchas. Precio con IVA. €/kg.
ING-0095,"LOMO CERDO IBERICO CONGELADO MAKRO 2,5KG",0.0,,PENDIENTE,,,,2026-06-13,,Lomo cerdo ibérico congelado: sigue sin equivalente oficial claro; no actualizo.
ING-0009,MAGRET PATO CONGELADO 300GR +/- MAKRO CAJA 8 UNIDADES,5.0,18.98,MAKRO,Magret de pato congelado 8 uds x 300 g,18.98,€/kg,2026-06-13,https://tienda.makro.es/shop/store/pv/BTY-X41127/0032/0021/Magret-de-pato-congelado-8-unidades-precio-kg,Precio con IVA/IGIC incluido. €/kg. Merma baja por recorte/grasa si se limpia.
ING-0624,MANTEQUILLA HOJALDRE 12K,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: mantequilla para hojaldre revisada en lote07 lácteos.
ING-0132,"MEDIO LECHAL CONGELADO 2,7K MAKRO",35.0,15.9,MAKRO,Medio canal de cordero lechal congelado 2-3 kg,15.9,€/kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X166726/0032/0021/Medio-canal-de-cordero-lechal-congelado,Precio con IVA/IGIC incluido. €/kg. Merma por hueso.
ING-0626,"MEJORANTE PANARIO 7,5k",0.0,,PENDIENTE,,,,2026-06-13,,"Mejorante panario 7,5 kg: no localizado precio oficial claro."
ING-0822,NODDLES DE ARROZ 250 G FIDEOS,0.0,9.96,CONSUM,GO-TAN tallarines de arroz 250 g,2.49,250 g,2026-06-13,https://tienda.consum.es/es/c/despensa/cocina-internacional/asiatico/4509,Equivalente a noodles/fideos de arroz. Precio con IVA. €/kg indicado por tienda.
ING-0641,PAN BARRA TRADICIONAL 250G DIEXPA 27 uni,0.0,0.89,CONSUM,Baguette rústica unidad,0.89,1 ud,2026-06-13,https://tienda.consum.es/es/p/philadelphia-salmon/7272458,Equivalente por unidad a barra/baguette. Precio con IVA. Normalizado a €/unidad.
ING-0642,PAN COLORES MINI HAMBURGUESA 195 G X 15 UNI,0.0,,PENDIENTE,,,,2026-06-13,,Pan colores mini hamburguesa: no localizado equivalente claro; no sustituyo por pan mini normal.
ING-0824,PAN DE MOLDE HOSTELERIA 1K,0.0,4.98,CONSUM,BIMBO pan molde rebanada estilo artesano 500 g,2.49,500 g,2026-06-13,https://tienda.consum.es/es/c/despensa/panes-y-tostadas/5153,Equivalente retail a pan de molde. Precio con IVA. €/kg indicado por tienda.
ING-0643,PAN DE ORO 25U,0.0,,PENDIENTE,,,,2026-06-13,,"Pan de oro 25 uds: producto de decoración, reservar para lote12/packaging."
ING-0825,PAN GAMBAS HAINAM 1KG,0.0,27.0,CONSUM,ZANUY pan de gamba bolsa 50 g,1.35,50 g,2026-06-13,https://tienda.consum.es/es/c/despensa/cocina-internacional/asiatico/4509,"Precio con IVA. €/kg indicado por tienda. Formato retail, no 1 kg Hainam."
