codigo,descripcion,merma,precio_unidad,proveedor_precio,formato_compra,precio_original,unidad_original,fecha_precio,url_precio,observaciones_precio
ING-0734,ARROZ ARBORIO 1KG,0.5,3.7,CONSUM,SCOTTI arroz risotto arborio 500 g,1.85,500 g,2026-06-13,https://tienda.consum.es/es/c/despensa/arroz-pastas-legumbres/arroz/1640,Precio con IVA. Producto equivalente. Convertido a €/kg desde 500 g.
ING-0736,ARROZ BASMATI 1k,0.5,2.1,CONSUM,CONSUM arroz basmati 1 kg,2.1,1 kg,2026-06-13,https://tienda.consum.es/es/p/arroz-basmati/7095610,Precio con IVA. €/kg.
ING-0737,ARROZ BOMBA 1k,0.5,5.09,CONSUM,CONSUM arroz bomba paquete 1 kg,5.09,1 kg,2026-06-13,https://tienda.consum.es/es/p/arroz-bomba-paquete/7164762,Precio con IVA. €/kg.
ING-0738,ARROZ INTEGRAL BOLSA 1KG,0.5,1.69,CONSUM,CONSUM arroz integral 1 kg,1.69,1 kg,2026-06-13,https://tienda.consum.es/es/p/arroz-integral/7413370,Precio con IVA. €/kg.
ING-0735,ARROZ REDONDO,0.5,1.69,CONSUM,LA FALLERA arroz redondo 1 kg,1.69,1 kg,2026-06-13,https://tienda.consum.es/es/p/arroz-redondo/302489,Precio con IVA. €/kg.
ING-0739,ARROZ ROJO,,,PENDIENTE,,,,2026-06-13,,No localizado precio oficial claro en Makro/Consum/Mercadona para esta revisión.
ING-0740,ARROZ SUSHI JAPON 500G,0.5,3.8,CONSUM,Arroz sushi paquete 500 g,1.9,500 g,2026-06-13,https://tienda.consum.es/es/p/arroz-sushi-paquete/7371094,Precio con IVA. Convertido a €/kg desde 500 g.
ING-0741,ARROZ SUSHI JAPON 5K,0.5,1.882,MAKRO,METRO Chef arroz para sushi bolsa 5 kg,9.41,5 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X143539/0032/0021/METRO-Chef-Arroz-para-sushi-en-bolsa-5-Kg,Precio con IVA/IGIC incluido. Convertido a €/kg desde 5 kg.
ING-0533,AZUCAR ANTIAPELMA GLAS 1K,0.5,5.2,CONSUM,AZUCARERA azúcar glace bote 500 g,2.6,500 g,2026-06-13,https://tienda.consum.es/es/p/azucar-moreno-bolsa/7256886,Producto equivalente: azúcar glace. Precio con IVA. Convertido a €/kg desde 500 g.
ING-0534,AZUCAR ANTIAPELMA.15kg,,,PENDIENTE,,,,2026-06-13,,No localizado formato profesional 15 kg con precio oficial claro en Makro/Consum/Mercadona.
ING-0535,AZUCAR ANTIHUMEDAD 5K,,,PENDIENTE,,,,2026-06-13,,No localizado producto antihumedad 5 kg con precio oficial claro en Makro/Consum/Mercadona.
ING-0536,AZUCAR BLANQUILLA,0.5,0.9,CONSUM,Azúcar blanco paquete 1 kg,0.9,1 kg,2026-06-13,https://tienda.consum.es/es/p/azucar-blanco-paquete/2453884,Precio con IVA. €/kg.
ING-0537,AZÚCAR ISOMALT800G,,,PENDIENTE,,,,2026-06-13,,No localizado isomalt 800 g con precio oficial claro en Makro/Consum/Mercadona.
ING-0538,AZUCAR MORENO,0.5,1.9,CONSUM,AZUCARERA azúcar moreno paquete 1 kg,1.9,1 kg,2026-06-13,https://tienda.consum.es/es/p/azucar-moreno-paquete/7384196,Precio con IVA. €/kg.
ING-0923,AZUCAR MORENO SOBRES 500 UNI,0.0,0.0189,MAKRO,RIOBA azúcar moreno en sobre 600 uds x 6 g,11.36,600 uds,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X206727/0032/0021/RIOBA-Az%C3%BAcar-moreno-en-sobre-600-ud.-x-6g,Precio con IVA/IGIC incluido. Equivalente no exacto a 500 uds. Precio normalizado a €/sobre.
ING-0922,AZUCAR SOBRES 1000 UNI,0.0,0.0126,MAKRO,RIOBA azúcar blanco monodosis 1000 uds x 6 g,12.64,1000 uds,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X206726/0032/0021/RIOBA-Az%C3%BAcar-blanco-en-sobre-monodosis-1000-ud.-x-6g,Precio con IVA/IGIC incluido. Precio normalizado a €/sobre.
ING-0559,CHOCOLATE/COBERTURA BLANCO SIN AZUCAR,,,PENDIENTE,,,,2026-06-13,,No localizado equivalente sin azúcar claro en Makro/Consum/Mercadona. Evito actualizar con chocolate blanco normal.
ING-0563,Cobertura leche SICAO,0.5,12.756,MAKRO,"METRO Chef cobertura gota 38% bolsa 2,5 kg",31.89,"2,5 kg",2026-06-13,https://tienda.makro.es/shop/pv/BTY-X192446/0032/0021/METRO-Chef-cobertura-gota-38-2-5kG,"Producto equivalente, no marca SICAO. Precio con IVA/IGIC incluido. Convertido a €/kg."
ING-0568,COLORANTE Amarillo huevo PASTA 200G,,,PENDIENTE,,,,2026-06-13,,No localizado precio oficial claro en Makro/Consum/Mercadona.
ING-0578,DÁTIL SIN HUESO,0.0,7.3,CONSUM,CONSUM dátil sin hueso doypack 300 g,2.19,300 g,2026-06-13,https://tienda.consum.es/es/p/datil-sin-hueso-doypack/7381226,Precio con IVA. Convertido a €/kg desde 300 g.
ING-0786,FIDEO ARROZ 250G,0.5,9.56,CONSUM,TIGER KHAN fideos vermicellis de arroz 250 g,2.39,250 g,2026-06-13,https://tienda.consum.es/es/c/despensa/cocina-internacional/asiatico/4509,Precio con IVA. Convertido a €/kg desde 250 g.
ING-0795,HARINA ARROZ GLUTINOSO 400G,0.5,4.475,MAKRO,FLOURISH harina de arroz glutinoso 400 g,1.79,400 g,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X216547/0032/0021/FLUORISH-harina-de-arroz-glutinoso-400-g,Precio con IVA/IGIC indicado en categoría. Convertido a €/kg desde 400 g.
ING-0595,HARINA CENTENO 5K,,,PENDIENTE,,,,2026-06-13,,No localizado formato harina de centeno 5 kg con precio oficial claro en Makro/Consum/Mercadona.
ING-0596,HARINA DE CENTENO INTEGRAL 5K,,,PENDIENTE,,,,2026-06-13,,No localizado formato harina de centeno integral 5 kg con precio oficial claro en Makro/Consum/Mercadona.
ING-0597,HARINA DE MEDIA FUERZA,0.5,1.1128,MAKRO,METRO Chef harina 00 W260-290 saco 25 kg,27.82,25 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X221139/0032/0021/METRO-Chef-harina-00-W260-290-saco-25-kg,Precio con IVA/IGIC incluido. Equivalente a harina de media fuerza. Convertido a €/kg.
ING-0796,HARINA DE TEMPURA,0.5,3.38,CONSUM,HARIMSA preparado para rebozar tempura sin huevo 500 g,1.69,500 g,2026-06-13,https://tienda.consum.es/es/p/preparado-para-rebozar-tempura-sin-huevo/7405124,Precio con IVA. Convertido a €/kg desde 500 g.
ING-0598,HARINA ESPECIAL 80W,0.5,0.72,CONSUM,CONSUM harina de trigo clásica 1 kg,0.72,1 kg,2026-06-13,https://tienda.consum.es/es/p/harina-de-trigo-clasica/7426091,"Producto equivalente aproximado a harina floja/común, no se especifica W80. Precio con IVA. €/kg."
ING-0599,HARINA FLOJA 25 K,0.5,0.72,CONSUM,CONSUM harina de trigo clásica 1 kg,0.72,1 kg,2026-06-13,https://tienda.consum.es/es/p/harina-de-trigo-clasica/7426091,"Producto equivalente en formato retail 1 kg, no saco 25 kg. Precio con IVA. €/kg."
ING-0600,HARINA FUERZA 25 K,0.5,1.1128,MAKRO,METRO Chef harina 00 W290-320 saco 25 kg,27.82,25 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X221141/0032/0021/METRO-Chef-harina-00-W290-320-saco-25-kg,Precio con IVA/IGIC incluido. Equivalente harina de fuerza. Convertido a €/kg.
ING-0797,HARINA GARBANZO PEDRO S/G DOY 2K,0.5,4.23,CONSUM,HARIMSA harina de garbanzo paquete 400 g,1.69,400 g,2026-06-13,https://tienda.consum.es/es/p/harina-de-garbanzo-paquete/7321276,Producto equivalente sin gluten. Precio con IVA. Convertido a €/kg desde 400 g.
ING-0601,HARINA INTEGRAL TRIGO 5K,0.5,0.9,CONSUM,CONSUM harina de trigo 100% integral 1 kg,0.9,1 kg,2026-06-13,https://tienda.consum.es/es/p/harina-de-trigo-100-integral/7426104,"Producto equivalente en formato retail 1 kg, no saco 5 kg. Precio con IVA. €/kg."
ING-0604,HUEVO ENTERO PASTEURIZADO,0.0,5.49,MAKRO,METRO Chef huevo líquido botella 1 L,5.49,1 L,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X198469/0032/0021/METRO-Chef-huevo-l%C3%ADquido-botella-1-L,"Precio con IVA/IGIC incluido. €/L. Producto pasteurizado sin cáscara, merma 0%."
ING-0605,HUEVOS,12.0,0.25,CONSUM,MONTERDE huevos M medianos docena,3.0,12 uds,2026-06-13,https://tienda.consum.es/es/p/huevos-m-medianos-docena/7098382,Precio con IVA. Normalizado a €/huevo. Merma estimada 12% por cáscara.
ING-0606,HUEVOS CODORNIZ,18.0,0.1028,CONSUM,MONTERDE huevo codorniz cartón 18 unidades,1.85,18 uds,2026-06-13,https://tienda.consum.es/es/p/huevo-codorniz-carton-18-unidades/7300853,Precio con IVA. Normalizado a €/huevo. Merma estimada 18% por cáscara.
ING-0608,LECHE CONDENSADA 450 G,0.0,5.22,CONSUM,CONSUM leche condensada entera Sirvefácil 450 g,2.35,450 g,2026-06-13,https://tienda.consum.es/es/p/caramelo-liquido-botella/356105,Precio con IVA. Convertido a €/kg desde 450 g.
ING-0958,LECHE CONDENSADA 450 g sSIRVE FACIL,0.0,5.22,CONSUM,CONSUM leche condensada entera Sirvefácil 450 g,2.35,450 g,2026-06-13,https://tienda.consum.es/es/p/caramelo-liquido-botella/356105,Precio con IVA. Convertido a €/kg desde 450 g.
ING-0959,LECHE CONDENSADA MONODOSIS 25 G X 50 UNI,,,PENDIENTE,,,,2026-06-13,,No localizado formato monodosis 25 g x 50 con precio oficial claro en Makro/Consum/Mercadona.
ING-0609,LECHE DE COCO 1 LT DIEXPA,0.0,3.8,MAKRO,AROY-D leche de coco 17-19% brik 1 L,3.8,1 L,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X209101/0032/0021/AROY-D-leche-de-coco-17-19-1-L,"Precio con IVA/IGIC incluido. €/L. Producto equivalente, no marca Diexpa."
ING-0610,LECHE ENTERA,0.0,0.96,CONSUM,CONSUM leche entera brik 1 L,0.96,1 L,2026-06-13,https://tienda.consum.es/es/p/leche-entera-brik/7080596,Precio con IVA. €/L.
ING-0611,LECHE ENTERA DOBLE CREMA CAPUCHINO,,,PENDIENTE,,,,2026-06-13,,No actualizado: no he encontrado equivalente claro. Evito usar nata/derivado lácteo 35% porque cambiaría demasiado el coste y uso técnico.
