codigo,descripcion,merma,precio_unidad,proveedor_precio,formato_compra,precio_original,unidad_original,fecha_precio,url_precio,observaciones_precio
ING-0709,ACEITE DE COCO 1L,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado/fuera de lote: aceite de coco ya tratado en lote01.
ING-0466,AGUACATE 1K,30.0,5.0,CONSUM,Aguacate premadurado pieza precio aprox.,1.0,"pieza aprox.; 5,00 €/kg",2026-06-13,https://tienda.consum.es/es/c/frescos/frutas/2179,Precio con IVA. €/kg indicado en categoría. Merma por piel y hueso.
ING-0449,AGUACATE A DADOS 1K,0.0,6.55,MAKRO,METRO Chef aguacate dados 1 kg congelado,6.55,1 kg,2026-06-13,https://tienda.makro.es/shop/category/alimentaci%C3%B3n-general/congelados/frutas-y-verduras-congeladas/frutas-congeladas,"Precio de categoría Makro. Producto congelado limpio, merma 0%."
ING-0467,ALBARICOQUE (ABRIL-JUNIO),10.0,,PENDIENTE,,,,2026-06-13,,Albaricoque fresco estacional; no localizado precio actual claro en fuentes objetivo.
ING-0523,ALBARICOQUE mitad congelado,0.0,19.92,CONSUM,Orejón albaricoque desecado doypack 125 g,2.49,125 g,2026-06-13,https://tienda.consum.es/es/p/zanahoria-rallada-bolsa/7288645,"Equivalente desecado, no mitad congelado. Precio con IVA. Convertido a €/kg. Revisar antes de actualizar si se necesita congelado."
ING-0288,ALCACHOFA MORADA,55.0,,PENDIENTE,,,,2026-06-13,,Duplicado/fuera de lote: alcachofa morada ya tratada en lote05 verduras.
ING-0468,ARANDANO 125G,1.0,13.78,CONSUM,Arándano vaso 225 g,3.1,225 g,2026-06-13,https://tienda.consum.es/es/p/arandano-vaso/7374866,Precio con IVA. €/kg indicado por tienda. Merma mínima por selección.
ING-0530,ARANDANO CONGELADO 1k,0.0,5.85,MAKRO,METRO Chef mix frutas del bosque bolsa 1 kg,5.85,1 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X110814/0032/0021/METRO-Chef-Mix-frutas-del-bosque-bolsa-1Kg,"Equivalente congelado genérico, no arándano puro. Precio con IVA/IGIC según ficha. Revisar si se requiere arándano 100%."
ING-0204,BACALAO COCOCHAS,5.0,,PENDIENTE,,,,2026-06-13,,"Fuera de lote: pescado/marisco, revisar en lote04."
ING-0261,BACALAO COCOCHAS 400 G,5.0,,PENDIENTE,,,,2026-06-13,,"Fuera de lote: pescado/marisco, revisar en lote04."
ING-0469,CALABAZA CHATA,25.0,1.99,CONSUM,Calabaza entera,1.99,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=5,"Duplicado de verdura, precio con IVA. €/kg. Merma por piel y semillas."
ING-0470,CARAMBOLA,15.0,,PENDIENTE,,,,2026-06-13,,Carambola no localizada con precio oficial claro.
ING-0471,CASTAÑA ( SEPT-DIC),25.0,,PENDIENTE,,,,2026-06-13,,Castaña estacional; no localizado precio actual claro.
ING-0472,CAVIAR CÍTRICO (FINGER LIME),5.0,,PENDIENTE,,,,2026-06-13,,Caviar cítrico/finger lime producto gourmet muy específico; no localizado precio claro en fuentes objetivo.
ING-0312,CEBOLLA MORADA 1K,10.0,,PENDIENTE,,,,2026-06-13,,Duplicado/fuera de lote: cebolla morada ya tratada en lote05 verduras.
ING-0473,CEREZAS,8.0,,PENDIENTE,,,,2026-06-13,,Cereza estacional; no localizado precio actual claro en fuentes objetivo.
ING-0474,CHUFA SECA,0.0,,PENDIENTE,,,,2026-06-13,,Chufa seca producto específico; no localizado precio claro en Makro/Consum/Mercadona.
ING-0560,CIRUELA PASA/SECA S/HUESO1K,0.0,,PENDIENTE,,,,2026-06-13,,Ciruela pasa/seca: reservar para lote08 pastelería/frutos secos.
ING-0475,CIRUELA ROJA,8.0,3.99,CONSUM,Ciruela roja pieza precio aprox.,0.42,"pieza aprox.; 3,99 €/kg",2026-06-13,https://tienda.consum.es/es/p/freson-bandeja/242081,Precio con IVA. €/kg indicado en recomendados de producto. Merma por hueso.
ING-0566,COCO EN POLVO,0.0,,PENDIENTE,,,,2026-06-13,,Coco en polvo: reservar para lote08 pastelería.
ING-0476,COCO FRESCO,60.0,,PENDIENTE,,,,2026-06-13,,Coco fresco no actualizado: no localizado precio oficial claro comparable por kg; requiere decidir si se compra por pieza.
ING-0567,COCO RALLADO,0.0,,PENDIENTE,,,,2026-06-13,,Coco rallado: reservar para lote08 pastelería.
ING-0228,COCOCHA BACALAO,5.0,,PENDIENTE,,,,2026-06-13,,"Fuera de lote: pescado/marisco, revisar en lote04."
ING-0331,COLIFLOR MORADA,30.0,,PENDIENTE,,,,2026-06-13,,Duplicado/fuera de lote: coliflor morada ya tratada en lote05 verduras.
ING-0571,COLORANTE NARANJA PASTA 200 G,0.0,,PENDIENTE,,,,2026-06-13,,Fuera de lote: colorante de pastelería/decoración; reservar para lote08/lote12.
ING-0576,COLORANTEAMARILLO LIMÓN PASTA 200g,0.0,,PENDIENTE,,,,2026-06-13,,Fuera de lote: colorante de pastelería/decoración; reservar para lote08/lote12.
ING-0577,CONFITURA FRAMBUESA 3K,0.0,,PENDIENTE,,,,2026-06-13,,Confitura frambuesa 3 kg: reservar para lote08/lote09 conservas y pastelería.
ING-0578,DÁTIL SIN HUESO,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: dátil sin hueso ya tratado en lote02.
ING-0477,FRAMBUESA 125G,1.0,15.92,CONSUM,Frambuesa bandeja 125 g,1.99,125 g,2026-06-13,https://tienda.consum.es/es/p/frambuesa-bandeja/7472520,Precio con IVA. €/kg indicado por tienda. Merma mínima por selección.
ING-0586,FRAMBUESA BRISURA congelada,0.0,,PENDIENTE,,,,2026-06-13,,Frambuesa brisura congelada: no localizada como producto exacto; revisar proveedor profesional.
ING-0585,FRAMBUESA congelada,0.0,9.72,MAKRO,METRO Chef frambuesas 1 kg congelado,9.72,1 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X221047/0032/0021/Metro-Chef-frambuesas-1-kg-congelado,"Precio con IVA/IGIC incluido. Producto congelado limpio, merma 0%."
ING-0587,FRESA LIOFILIZADA 50G,0.0,,PENDIENTE,,,,2026-06-13,,Fresa liofilizada 50 g: reservar para lote08 pastelería; no localizado precio claro en fuentes objetivo.
ING-0478,FRESON FRESCO,3.0,5.0,CONSUM,Fresón bandeja 500 g aprox.,2.5,500 g,2026-06-13,https://tienda.consum.es/es/p/freson-bandeja/242081,Precio con IVA. €/kg indicado por tienda. Merma mínima por selección/pedúnculo.
ING-0479,FRUTA DE LA PASION,5.0,12.06,MAKRO,PONTHIER puré de maracuyá 1 kg,12.06,1 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X100600/0032/0021/PONTHIER-pur%C3%A9-de-maracuya-1-kg,Equivalente profesional a fruta de la pasión. Precio base por kg indicado; revisar IVA si se aplica oferta.
ING-0480,GRANADA,45.0,,PENDIENTE,,,,2026-06-13,,Granada no localizada con precio oficial claro en fuentes objetivo.
ING-0481,GROSELLA ROJA 125G,1.0,,PENDIENTE,,,,2026-06-13,,Grosella roja 125 g no localizada con precio oficial claro.
ING-0482,GUAYABA,20.0,,PENDIENTE,,,,2026-06-13,,Guayaba no localizada con precio oficial claro.
ING-0483,HIGO ( SEPT-OCT),15.0,,PENDIENTE,,,,2026-06-13,,Higo fresco estacional; no localizado precio actual claro.
ING-0602,HIGO SECO,0.0,,PENDIENTE,,,,2026-06-13,,Higo seco: reservar para lote08 pastelería/frutos secos.
ING-0362,HOJA LIMA KAFFIR 100 GR,0.0,,PENDIENTE,,,,2026-06-13,,Hoja de lima kaffir: producto aromático fuera de fruta fresca; reservar para lote09/12.
ING-0484,KAKI persimon,15.0,,PENDIENTE,,,,2026-06-13,,Kaki/persimon estacional; no localizado precio actual claro.
ING-0485,KIWI VERDE 1k,10.0,,PENDIENTE,,,,2026-06-13,,Kiwi verde no actualizado: fuente localizada fue kiwi amarillo; revisar si se acepta sustitución.
ING-0486,KUMKUAT 300G,8.0,,PENDIENTE,,,,2026-06-13,,Kumquat 300 g no localizado con precio oficial claro.
ING-0609,LECHE DE COCO 1 LT DIEXPA,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado/fuera de lote: leche de coco ya tratada en lote02.
ING-0487,LIMA,12.0,,PENDIENTE,,,,2026-06-13,,Lima no localizada con precio oficial claro en fuentes objetivo.
ING-0488,LIMON,10.0,3.49,CONSUM,Limón pieza precio aprox.,0.84,"pieza aprox.; 3,49 €/kg",2026-06-13,https://tienda.consum.es/es/c/frescos/frutas/2179,Precio con IVA. €/kg indicado en categoría. Merma por piel/semilla según uso.
ING-0489,LITCHIES ( NOV-ENE),25.0,,PENDIENTE,,,,2026-06-13,,Litchi estacional no localizado con precio actual claro.
ING-0490,MANDARINA,25.0,,PENDIENTE,,,,2026-06-13,,Mandarina no localizada en fuentes consultadas con precio claro actual.
