codigo,descripcion,merma,precio_unidad,proveedor_precio,formato_compra,precio_original,unidad_original,fecha_precio,url_precio,observaciones_precio
ING-0709,ACEITE DE COCO 1L,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: aceite de coco ya tratado en lote01.
ING-0710,ACEITE DE TRUFA 250 ML,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: aceite de trufa ya tratado en lote01.
ING-0711,ACEITE GIRASOL,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: aceite de girasol ya tratado en lote01.
ING-0712,ACEITE NUEZ,0.0,,PENDIENTE,,,,2026-06-13,,Aceite de nuez sigue pendiente: no localizado precio oficial claro.
ING-0713,ACEITE OLIVA 0.4 1l,0.0,,PENDIENTE,,,,2026-06-13,,"Duplicado: aceite oliva 0,4 ya tratado en lote01."
ING-0714,ACEITE OLIVA INTENSO,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: aceite oliva intenso ya tratado en lote01.
ING-0715,ACEITE OLIVA MONODOSIS 10MLX144U,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: aceite oliva monodosis ya tratado en lote01.
ING-0716,ACEITE SESAMO BLUE DRAGON 150ML,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: aceite de sésamo ya tratado en lote01.
ING-0717,ACEITUNA GORDAL,0.0,,PENDIENTE,,,,2026-06-13,,Aceituna gordal: no localizado equivalente claro en formato profesional; no sustituyo por verdial/manzanilla.
ING-0718,ACEITUNA NEGRA S/H.SERPIS LT2K,0.0,,PENDIENTE,,,,2026-06-13,,Aceituna negra Serpis lata 2 kg: no localizado formato exacto; no sustituyo por lata retail 130-150 g sin revisión.
ING-0719,ACEITUNA NEGRA SIN HUESO 400 G,0.0,7.93,CONSUM,CONSUM aceitunas negras sin hueso lata 150 g,1.19,150 g,2026-06-13,https://tienda.consum.es/es/c/despensa/aperitivos-frutos-secos/aceitunas-encurtidos/1570,Precio con IVA. €/kg indicado por tienda. Equivalente a aceituna negra sin hueso; no formato 400 g.
ING-0721,ACEITUNA RELLENA ANCHOA 600 G,0.0,7.65,CONSUM,CONSUM aceitunas rellenas de anchoas lata 600 g,4.59,600 g,2026-06-13,https://tienda.consum.es/es/c/despensa/aperitivos-frutos-secos/aceitunas-encurtidos/aceitunas-con-hueso/2502,Precio con IVA. €/kg indicado por tienda. Ojo: producto ya apareció en lote04; revisar duplicado al crear MASTER.
ING-0720,ACEITUNA VERDE DESHUESADA 400 GR,0.0,14.33,CONSUM,JOLCA aceituna manzanilla sin hueso pack 3 x 50 g,2.15,150 g,2026-06-13,https://tienda.consum.es/es/c/despensa/aperitivos-frutos-secos/aceitunas-encurtidos/1570?page=2,Precio con IVA. €/kg indicado por tienda. Equivalente a aceituna verde deshuesada; no formato 400 g.
ING-0722,ALCAPARRAS CAPUC DELICIA FC 1250,0.0,,PENDIENTE,,,,2026-06-13,,Alcaparras Capuc Delicia formato grande no localizado con precio oficial claro.
ING-0723,ALCAPARRAS.CAPUCC.SARASA FC.80,0.0,,PENDIENTE,,,,2026-06-13,,Alcaparras capuccinas 80 g no localizadas con precio oficial claro.
ING-0724,ALCAPARRON 360G,0.0,,PENDIENTE,,,,2026-06-13,,Alcaparrón 360 g no localizado con precio oficial claro.
ING-0725,ALGA ESPAGUETI DE MAR,0.0,,PENDIENTE,,,,2026-06-13,,Alga espagueti de mar no localizada con precio oficial claro.
ING-0292,ALGA LECHUGA DE MAR SALAZON,0.0,,PENDIENTE,,,,2026-06-13,,Alga lechuga de mar salazón no localizada con precio oficial claro.
ING-0726,ALGAS NORI HIDEKO 28G 10 LAMINAS,0.0,,PENDIENTE,,,,2026-06-13,,Algas nori Hideko 28 g no localizadas con precio oficial claro.
ING-0727,ALL I OLI 1K makro,0.0,7.8,CONSUM,CHOVI salsa allioli PET 250 ml,1.95,250 ml,2026-06-13,https://tienda.consum.es/vl/p/salsa-allioli-pet/7262413,Precio con IVA. €/L indicado por tienda. Se usa como aproximación €/kg por densidad similar.
ING-0728,ALUBIA ARO 500G BCA RIÑON,0.0,2.45,CONSUM,CONSUM alubia blanca paquete 1 kg,2.45,1 kg,2026-06-13,https://tienda.consum.es/es/p/garbanzo-lechoso-paquete/7316763,"Precio con IVA. Fuente relacionada muestra alubia blanca 1 kg a 2,45 €/kg. Equivalente a alubia blanca riñón."
ING-0729,ALUBIA BLANCA RINON HS 5KG,0.0,2.45,CONSUM,CONSUM alubia blanca paquete 1 kg,2.45,1 kg,2026-06-13,https://tienda.consum.es/es/p/garbanzo-lechoso-paquete/7316763,Equivalente retail; el inventario indica 5 kg. Precio con IVA €/kg.
ING-0730,ALUBIA COCIDA,0.0,1.88,CONSUM,CONSUM alubia blanca cocida frasco 400 g,0.75,400 g,2026-06-13,https://tienda.consum.es/es/c/despensa/arroz-pastas-legumbres/legumbres/1654,Precio con IVA. €/kg indicado por tienda. Producto cocido.
ING-0731,ALUBIA NEGRA 500g mercadona,0.0,3.1,CONSUM,LUENGO alubia negrita paquete 500 g,1.55,500 g,2026-06-13,https://tienda.consum.es/es/p/garbanzo-lechoso-paquete/7316763,Precio con IVA. €/kg indicado por tienda. Equivalente a alubia negra.
ING-0732,ALUBIA PINTA,0.0,2.4,CONSUM,CONSUM alubia pinta paquete 1 kg,2.4,1 kg,2026-06-13,https://tienda.consum.es/es/p/garbanzo-lechoso-paquete/7316763,Precio con IVA. €/kg indicado por tienda.
ING-0733,"APIO RALLADO CONSERVA 1,5KG",,,PENDIENTE,,,,2026-06-13,,No procesado en este lote.
ING-0734,ARROZ ARBORIO 1KG,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: arroz arborio ya tratado en lote02.
ING-0736,ARROZ BASMATI 1k,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: arroz basmati ya tratado en lote02.
ING-0737,ARROZ BOMBA 1k,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: arroz bomba ya tratado en lote02.
