codigo,descripcion,merma,precio_unidad,proveedor_precio,formato_compra,precio_original,unidad_original,fecha_precio,url_precio,observaciones_precio
ING-0709,ACEITE DE COCO 1L,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: aceite de coco ya tratado en lote01.
ING-0710,ACEITE DE TRUFA 250 ML,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: aceite de trufa ya tratado en lote01.
ING-0711,ACEITE GIRASOL,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: aceite girasol ya tratado en lote01.
ING-0712,ACEITE NUEZ,0.0,,PENDIENTE,,,,2026-06-13,,Aceite de nuez sigue pendiente; no localizado precio oficial claro.
ING-0713,ACEITE OLIVA 0.4 1l,0.0,,PENDIENTE,,,,2026-06-13,,"Duplicado: aceite oliva 0,4 ya tratado en lote01."
ING-0714,ACEITE OLIVA INTENSO,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: aceite oliva intenso ya tratado en lote01.
ING-0715,ACEITE OLIVA MONODOSIS 10MLX144U,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: aceite oliva monodosis ya tratado en lote01.
ING-0716,ACEITE SESAMO BLUE DRAGON 150ML,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: aceite sésamo ya tratado en lote01.
ING-0915,AGUA 33CL PLASTICO MAKRO pak 35,0.0,0.3097,MAKRO,Cabreiroa agua PET 33 cl x 35 unidades,10.84,35 botellas x 33 cl,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X646636/0032/0021/Cabreiroa-agua-pet-33cl-contiene-35-unidades,Precio con IVA/IGIC incluido. Normalizado a €/botella de 33 cl.
ING-0916,AGUA 5 L GARRAFA MAKRO,0.0,0.144,MAKRO,ARO agua garrafa 5 L,0.72,5 L,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X206293/0034/0021/Aro-agua-garrafa-5-L,Precio con IVA/IGIC incluido. Normalizado a €/L.
ING-0522,AGUA DE AZAHAR 1L,0.0,,PENDIENTE,,,,2026-06-13,,"Agua de azahar: pastelería/aromas; reservar para lote08/lote12, no bebidas."
ING-0917,AGUA GAS VICHY 12 X 1L,0.0,1.3192,MAKRO,Vichy Catalan agua con gas botella 1 L x 12 unidades,15.83,12 botellas x 1 L,2026-06-13,https://tienda.makro.es/shop/store/pv/BTY-X378121/0032/0021/VICHY-CATALAN-agua-con-gas-botella-1-L-contiene-12-unidades,Precio con IVA/IGIC incluido. Normalizado a €/botella de 1 L.
ING-0914,"AGUA PET SOLAN DE CABRAS 0,5 L X 20 UD",0.0,0.6705,MAKRO,Solán de Cabras agua PET 50 cl x 20 unidades,13.41,20 botellas x 50 cl,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X112328/0032/0021/SOL%C3%81N-DE-CABRAS-agua-pet-50cl-contiene-20-unidades,Precio con IVA/IGIC incluido. Normalizado a €/botella de 50 cl.
ING-0913,"AGUA PET SOLAN DE CABRAS 1,5 L X 6 UD",0.0,0.7367,MAKRO,"Solán de Cabras agua PET 1,5 L x 6 unidades",4.42,"6 botellas x 1,5 L",2026-06-13,https://tienda.makro.es/ordercapture/uidispatcher/static/shop/pv/BTY-X709621/0033/0021/SOL%C3%81N-DE-CABRAS-agua-pet-1-5L-contiene-6-unidades,"Precio con IVA/IGIC incluido. Normalizado a €/botella de 1,5 L."
ING-0466,AGUACATE 1K,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado/fuera de lote: aguacate tratado en lote06 frutas.
ING-0449,AGUACATE A DADOS 1K,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado/fuera de lote: aguacate dados tratado en lote06 frutas.
ING-0282,AJETE CHINO/cebolla tierna china,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado/fuera de lote: ajete chino tratado en lote01/lote05.
ING-0724,ALCAPARRON 360G,0.0,,PENDIENTE,,,,2026-06-13,,Alcaparrón: conserva/encurtido del lote09; no actualizar aquí.
ING-0525,ALMENDRA ENTERA REPELEDA,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado/fuera de lote: almendra repelada ya tratada en lote01/lote08.
ING-0526,ALMENDRA FILETEADA 1K,0.0,,PENDIENTE,,,,2026-06-13,,Fuera de lote: almendra fileteada corresponde a pastelería/frutos secos.
ING-0918,AMARETO,0.0,21.6143,MAKRO,DISARONNO licor amaretto botella 70 cl,15.13,70 cl,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X872446/0032/0021/DISARONNO-licor-amaretto-70cl,Precio con IVA/IGIC incluido. Normalizado a €/L.
ING-0919,ANIS DULCE la castellana,0.0,9.8286,MAKRO,La Castellana anís dulce botella 70 cl,6.88,70 cl,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X151332/0032/0021/La-Castellana-an%C3%ADs-dulce-botella-70cl,Precio con IVA/IGIC incluido. Normalizado a €/L.
ING-0920,ANIS SECO,0.0,14.27,MAKRO,Chinchón de la Alcoholera anís seco botella 1 L,14.27,1 L,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X62858/0032/0021/CHINCHON-DE-LA-ALCOHOLERA-anis-seco-1L,Precio con IVA/IGIC incluido. €/L.
ING-0921,ARMAGNAC,0.0,36.8,MAKRO,Saint Vivant armagnac botella 70 cl,25.76,70 cl,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X211620/0032/0021/Saint-Vivant-armagnac-botella-70cl,Precio con IVA/IGIC incluido. Normalizado a €/L.
ING-0738,ARROZ INTEGRAL BOLSA 1KG,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: arroz integral tratado en lote02.
ING-0742,ATUN ACEITE VEGET. ARO 650,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado/fuera de lote: atún aceite vegetal tratado en lote04.
ING-0743,AZAFRAN HEBRA POTE 4SB 100MG,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado/fuera de lote: azafrán tratado en lote09.
