codigo,descripcion,merma,precio_unidad,proveedor_precio,formato_compra,precio_original,unidad_original,fecha_precio,url_precio,observaciones_precio,lote_origen,archivo_origen,_tiene_precio,_score,seleccionado_master,motivo_resolucion
ING-0028,POLLO TRASEROS congelados MAKRO,30.0,2.49,MAKRO,Trasero de pollo congelado a granel caja 10 kg,2.49,1 kg,2026-06-13,https://tienda.makro.es/shop/category/alimentaci%C3%B3n-general/congelados/carne-congelada/pollos-y-aves,Precio con IVA/IGIC incluido. €/kg. Merma por hueso.,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv,SI,1135,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0028,POLLO TRASEROS congelados MAKRO,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: pollo traseros congelados ya tratado en lote03 carnes.,lote10,actualizacion_precios_lote10_panes_masas_congelados_precocinados_con_mermas.csv,NO,-70,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0033,CANAL MEDIA TERNERA,35.0,,PENDIENTE,,,,2026-06-13,,Media canal de ternera no comparable con retail; requiere proveedor cárnico profesional.,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv,NO,0,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0033,CANAL MEDIA TERNERA,0.0,,PENDIENTE,,,,2026-06-13,,Fuera de lote: carne/vacuno. No actualizar en bebidas.,lote11,actualizacion_precios_lote11_bebidas_cafes_infusiones_con_mermas.csv,NO,-70,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0034,CARRILLADA TERNERA,6.0,17.5,CONSUM,Carrillada de vacuno congelada pieza precio aprox.,17.5,1 kg,2026-06-13,https://tienda.consum.es/es/p/carrillada-de-vacuno-congelada/7468049,Precio con IVA. €/kg. Merma estimada por limpieza ligera.,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv,SI,1135,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0034,CARRILLADA TERNERA,0.0,,PENDIENTE,,,,2026-06-13,,Fuera de lote: carne/vacuno. No actualizar en bebidas.,lote11,actualizacion_precios_lote11_bebidas_cafes_infusiones_con_mermas.csv,NO,-70,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0037,COSTILLA ENTERA,25.0,7.99,CONSUM,Costilla de cerdo,7.99,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria/cerdo/2159,Precio con IVA. €/kg. Merma estimada por hueso.,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv,SI,1135,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0037,COSTILLA ENTERA,0.0,,PENDIENTE,,,,2026-06-13,,Fuera de lote: carne/cerdo tratado en lote03.,lote11,actualizacion_precios_lote11_bebidas_cafes_infusiones_con_mermas.csv,NO,-70,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0054,"SOLOMILLO VACA CONGELADO + 2,5K MAKRO",10.0,28.55,MAKRO,Solomillo de vaca congelado +3 kg precio kg,28.55,1 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X50630/0032/0021/Solomillo-de-vaca-congelado-%2B-3kg-precio-kg,Precio con IVA/IGIC incluido. €/kg.,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv,SI,1135,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0054,"SOLOMILLO VACA CONGELADO + 2,5K MAKRO",0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: solomillo vaca congelado ya tratado en lote03 carnes.,lote10,actualizacion_precios_lote10_panes_masas_congelados_precocinados_con_mermas.csv,NO,-70,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0058,ABANICO CERDO IBÉRICO CONGELADO MAKRO 1K,3.0,18.65,MAKRO,"Abanico cerdo ibérico congelado calibre 0,8 kg/pieza",18.65,1 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X151138/0032/0021/Abanico-de-cerdo-ib%C3%A9rico-congelado-precio-kg,Precio con IVA/IGIC incluido. €/kg. Merma baja por pieza limpia congelada.,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv,SI,1135,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0058,ABANICO CERDO IBÉRICO CONGELADO MAKRO 1K,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: abanico cerdo ibérico ya tratado en lote03 carnes.,lote10,actualizacion_precios_lote10_panes_masas_congelados_precocinados_con_mermas.csv,NO,-70,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0072,CHULETERO LOMO ENTERO CON SOLOMILLO +/-10K,12.0,7.19,CONSUM,Filete lomo de cerdo origen España,7.19,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria-corte/cerdo/4062,Equivalente lomo/chuletero. Precio con IVA. €/kg. Merma estimada por grasa y cordón.,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv,SI,1120,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0072,CHULETERO LOMO ENTERO CON SOLOMILLO +/-10K,0.0,,PENDIENTE,,,,2026-06-13,,Fuera de lote: carne/cerdo tratado en lote03.,lote11,actualizacion_precios_lote11_bebidas_cafes_infusiones_con_mermas.csv,NO,-70,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0079,COLA CERDO,25.0,7.49,CONSUM,Rabos de cerdo origen España,7.49,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria-corte/cerdo/4062,Equivalente a cola/rabo de cerdo. Precio con IVA. €/kg. Merma por hueso/cartílago.,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv,SI,1120,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0079,COLA CERDO,25.0,,PENDIENTE,,,,2026-06-13,,Cola de cerdo pertenece a lote03 carnes. No actualizar en lote verduras.,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv,NO,0,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0083,COSTILLAR CORTE FOSTER,25.0,8.99,CONSUM,Tira de costilla de cerdo origen España pieza 1 kg aprox.,8.99,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria-corte/cerdo/4062,Equivalente costillar corte especial. Precio con IVA. €/kg.,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv,SI,1120,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0083,COSTILLAR CORTE FOSTER,0.0,,PENDIENTE,,,,2026-06-13,,Fuera de lote: carne/cerdo tratado en lote03.,lote11,actualizacion_precios_lote11_bebidas_cafes_infusiones_con_mermas.csv,NO,-70,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
