codigo,descripcion,merma,precio_unidad,proveedor_precio,formato_compra,precio_original,unidad_original,fecha_precio,url_precio,observaciones_precio,estado_master,lote_origen,archivo_origen
ING-0001,CARCASA POLLO,0.0,1.55,CONSUM,CONSUM carcasas de pollo,1.55,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria/aves/2156,"Precio con IVA. €/kg. Uso para fondos, merma operativa 0%.",ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0004,FOIE ESCALOPES 160G CONGELADO,,,PENDIENTE,,,,2026-06-13,,No procesado en este lote.,PENDIENTE,lote10,actualizacion_precios_lote10_panes_masas_congelados_precocinados_con_mermas.csv
ING-0006,HIGADILLOS POLLO,5.0,,PENDIENTE,,,,2026-06-13,,Higadillos de pollo no localizados con precio oficial claro.,PENDIENTE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0007,JAMON DE PATO MARTIKO 100G,0.0,,PENDIENTE,,,,2026-06-13,,Jamón de pato Martiko 100 g no localizado en fuentes objetivo.,PENDIENTE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0009,MAGRET PATO CONGELADO 300GR +/- MAKRO CAJA 8 UNIDADES,5.0,18.98,MAKRO,Magret de pato congelado 8 uds x 300 g,18.98,€/kg,2026-06-13,https://tienda.makro.es/shop/store/pv/BTY-X41127/0032/0021/Magret-de-pato-congelado-8-unidades-precio-kg,Precio con IVA/IGIC incluido. €/kg. Merma baja por recorte/grasa si se limpia.,ACTUALIZABLE,lote10,actualizacion_precios_lote10_panes_masas_congelados_precocinados_con_mermas.csv
ING-0011,PATO FOIE CORRIENTE CONGELADO 450 G MAKRO,,,PENDIENTE,,,,2026-06-13,,No procesado en este lote.,PENDIENTE,lote10,actualizacion_precios_lote10_panes_masas_congelados_precocinados_con_mermas.csv
ING-0012,PATO FOIE ENTERO EXTRA CONGELADO 500-700G MAKRO,,,PENDIENTE,,,,2026-06-13,,No procesado en este lote.,PENDIENTE,lote10,actualizacion_precios_lote10_panes_masas_congelados_precocinados_con_mermas.csv
ING-0014,PATO MUSLO DE CONFIT CONGELADO MAKRO,20.0,14.4062,MAKRO,Muslo confit de pato congelado caja 6 uds x 267 g,23.05,"1,6 kg aprox.",2026-06-13,https://tienda.makro.es/shop/store/pv/BTY-X147408/0032/0021/Muslo-confit-de-pato-congelado-caja-6-ud-267g-%281600-g%29,"Precio con IVA/IGIC incluido. Convertido a €/kg desde caja 1,6 kg.",ACTUALIZABLE,lote10,actualizacion_precios_lote10_panes_masas_congelados_precocinados_con_mermas.csv
ING-0016,PAVO MUSLO FRESCO 350-450 G unidad jamoncito,20.0,,PENDIENTE,,,,2026-06-13,,Muslo/jamoncito de pavo fresco no localizado con precio oficial claro.,PENDIENTE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0017,PICADA POLLO 380G,0.0,,PENDIENTE,,,,2026-06-13,,Picada de pollo 380 g no localizada; no sustituyo por burger meat.,PENDIENTE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0018,POLLO ALAS,25.0,4.5,CONSUM,CONSUM alas de pollo bandeja 750 g aprox.,4.5,1 kg,2026-06-13,https://tienda.consum.es/es/p/alas-de-pollo/5336235,Precio con IVA. €/kg. Merma por hueso.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0019,POLLO CUARTO DELANTERO 550 G UNIDAD,30.0,4.09,CONSUM,CONSUM pollo troceado,4.09,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria/aves/2156,Equivalente a cuarto delantero/troceado. Precio con IVA. €/kg. Merma por hueso.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0020,POLLO CUARTO TRASERO MUSLOS +/- 400gr,30.0,3.49,CONSUM,CONSUM cuarto trasero de pollo,3.49,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria/aves/2156,Precio con IVA. €/kg. Merma por hueso.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0021,"POLLO LIMPIO ENTERO 1,5k/UNIDAD",35.0,3.6,CONSUM,Pollo limpio origen España pieza precio aprox.,3.6,1 kg,2026-06-13,https://tienda.consum.es/es/p/pollo-limpio-origen-espana/4378345,Precio con IVA. €/kg. Merma por hueso/carcasa.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0022,"POLLO LIMPIO ENTERO DE 2,5K/UNIDAD",35.0,3.6,CONSUM,Pollo limpio origen España pieza precio aprox.,3.6,1 kg,2026-06-13,https://tienda.consum.es/es/p/pollo-limpio-origen-espana/4378345,Precio con IVA. €/kg. Merma por hueso/carcasa.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0023,POLLO MOLLEJAS,5.0,,PENDIENTE,,,,2026-06-13,,Mollejas de pollo no localizadas con precio oficial claro.,PENDIENTE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0024,POLLO JAMONCITO 105 G /UNIDAD,30.0,3.29,MAKRO,Jamoncitos de pollo 130-150 g congelados caja 10 kg,3.29,1 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X182714/0032/0021,Precio con IVA/IGIC incluido. €/kg. Merma por hueso.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0025,POLLO PECHUGA FILETEADA,2.0,8.0,CONSUM,CONSUM filetes pechuga de pollo,8.0,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria/aves/2156,Precio con IVA. €/kg.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0026,POLLO PECHUGA LIMPIA,3.0,7.25,CONSUM,CONSUM pechugas de pollo origen España,7.25,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria-corte/aves/4060,Precio con IVA. €/kg.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0027,POLLO PICANTON EXTRA mercadona 400g,35.0,,PENDIENTE,,,,2026-06-13,,Pollo picantón extra Mercadona 400 g no actualizado: requiere consulta específica Mercadona/zona.,PENDIENTE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0028,POLLO TRASEROS congelados MAKRO,30.0,2.49,MAKRO,Trasero de pollo congelado a granel caja 10 kg,2.49,1 kg,2026-06-13,https://tienda.makro.es/shop/category/alimentaci%C3%B3n-general/congelados/carne-congelada/pollos-y-aves,Precio con IVA/IGIC incluido. €/kg. Merma por hueso.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0031,BABILLA entera,0.0,,PENDIENTE,,,,2026-06-13,,Fuera de lote: carne/vacuno. No actualizar en bebidas.,PENDIENTE,lote11,actualizacion_precios_lote11_bebidas_cafes_infusiones_con_mermas.csv
ING-0032,CADERA entera,0.0,,PENDIENTE,,,,2026-06-13,,Fuera de lote: carne/vacuno. No actualizar en bebidas.,PENDIENTE,lote11,actualizacion_precios_lote11_bebidas_cafes_infusiones_con_mermas.csv
ING-0033,CANAL MEDIA TERNERA,35.0,,PENDIENTE,,,,2026-06-13,,Media canal de ternera no comparable con retail; requiere proveedor cárnico profesional.,PENDIENTE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0034,CARRILLADA TERNERA,6.0,17.5,CONSUM,Carrillada de vacuno congelada pieza precio aprox.,17.5,1 kg,2026-06-13,https://tienda.consum.es/es/p/carrillada-de-vacuno-congelada/7468049,Precio con IVA. €/kg. Merma estimada por limpieza ligera.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0037,COSTILLA ENTERA,25.0,7.99,CONSUM,Costilla de cerdo,7.99,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria/cerdo/2159,Precio con IVA. €/kg. Merma estimada por hueso.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0040,HAMBURGUESA MINI VACUNO 25 G X 20 UNIDADES,0.0,,PENDIENTE,,,,2026-06-13,,Hamburguesa mini vacuno 25 g x20 requiere precio por caja/unidad equivalente; no actualizo con burger retail distinta.,PENDIENTE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0041,HIGADO TERNERA,8.0,,PENDIENTE,,,,2026-06-13,,Hígado de ternera no localizado con precio oficial claro.,PENDIENTE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0042,HUESOS RODILLA TERNERA,0.0,6.88,MAKRO,METRO Chef huesos añojo bandeja precio kg,6.88,1 kg,2026-06-13,https://tienda.makro.es/shop/category/frescos/carne/casquer%C3%ADa/vacuno,"Precio con IVA/IGIC incluido. Uso para fondos, merma operativa 0%.",ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0043,HUESOS TERNERA,0.0,6.88,MAKRO,METRO Chef huesos añojo bandeja precio kg,6.88,1 kg,2026-06-13,https://tienda.makro.es/shop/category/frescos/carne/casquer%C3%ADa/vacuno,"Precio con IVA/IGIC incluido. Uso para fondos, merma operativa 0%.",ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
