codigo,descripcion,merma,precio_unidad,proveedor_precio,formato_compra,precio_original,unidad_original,fecha_precio,url_precio,observaciones_precio
ING-0721,ACEITUNA RELLENA ANCHOA 600 G,0.0,6.7667,MAKRO,ARO aceituna rellena de anchoa lata 600 g,4.06,600 g,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X180788/0032/0021/aro-aceituna-rellena-de-anchoa-lata-600g,Precio con IVA/IGIC incluido. Convertido a €/kg desde 600 g.
ING-0199,ALISTADO GAMBA ROJA PEQUEÑA mercadona PARA AMERICANA,,,PENDIENTE,,,,2026-06-13,,No procesado en este lote.
ING-0144,ALMEJA FINA 1-2K,75.0,,PENDIENTE,,,,2026-06-13,,Almeja fina: no sustituyo por japónica/negra porque cambia calidad y precio.
ING-0145,ALMEJA JAPONICA 1-2K makro,75.0,16.78,MAKRO,METRO Chef almeja japónica 60/80 piezas kg malla 1 kg,16.78,1 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X717707/0032/0021/METRO-Chef-Almeja-jap%C3%B3nica-60-80-piezas-Kg-FAO-27-Malla-1-Kg,Precio con IVA/IGIC incluido. €/kg. Merma por concha.
ING-0200,ALMEJA NEGRA 60/80 C,75.0,12.53,MAKRO,Altamar almeja negra congelada 60/80 piezas 1 kg,12.53,1 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X171365/0032/0021/Altamar-Almeja-negra-congelada-60-80-piezas-1kg,Precio con IVA/IGIC incluido. €/kg. Merma por concha.
ING-0201,ALMENDRITA/CASTAÑITA/CHOPITO 1K,10.0,10.44,CONSUM,Puntilla limpia sin pluma 450 g,4.7,450 g,2026-06-13,https://tienda.consum.es/es/p/puntilla-limpia-s-pluma/7464758,Equivalente a almendrita/chopito. Precio con IVA. €/kg indicado por tienda.
ING-0257,ANCHOAS GIRASOL 260G makro,0.0,72.55,CONSUM,Filete anchoa Cantábrico aceite girasol MSC tarro 55 g,3.99,55 g,2026-06-13,https://tienda.consum.es/es/c/frescos/pescaderia/2171?page=3,"Producto equivalente, no formato 260 g. Precio con IVA. €/kg indicado por tienda."
ING-0146,ANGUILA,35.0,,PENDIENTE,,,,2026-06-13,,Anguila no localizada con precio oficial claro.
ING-0742,ATUN ACEITE VEGET. ARO 650,0.0,8.4462,MAKRO,ARO atún aceite vegetal 650 g neto escurrido,5.49,650 g,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X295675/0032/0021/aro-at%C3%BAn-aceite-vegetal-650-gne-%28900-g%29,Precio con IVA/IGIC incluido. Convertido a €/kg desde 650 g netos.
ING-0202,ATUN LOMO 3-5K,5.0,16.45,MAKRO,Atún lomo c/p 2-5 kg elaborado FAO34,16.45,1 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X225234/0032/0021/ATUN-LOMO-C-P-2-5KG-ELAB-FAO34,Precio con IVA/IGIC incluido. €/kg. Merma razonable 5% por limpieza/recorte.
ING-0147,ATUN LOMO VACÍO refrigerado 3-5K,3.0,13.59,MAKRO,Lomo de atún vacío 1 kg FAO 77,13.59,1 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X173868/0032/0021/At%C3%BAn-lomo-vac%C3%ADo-1kg-FAO-77-Atl%C3%A1ntico-Este-Central,Precio con IVA/IGIC incluido. €/kg. Merma baja por pieza limpia.
ING-0203,ATUN VENTRESCA 1K,0.0,27.4154,MAKRO,UBAGO ventresca de atún claro aceite vegetal 650 g,17.82,650 g,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X27938/0032/0021/Ubago-Ventresca-at%C3%BAn-claro-aceite-vegetal-650g,Precio con IVA/IGIC incluido. Convertido a €/kg.
ING-0258,BACALAda SALAZON FILETON,10.0,19.9,CONSUM,Filete de bacalao fresco/desalado mostrador,19.9,1 kg,2026-06-13,https://tienda.consum.es/es/p/filete-de-bacalao/7108314,Equivalente a filete/lomo salazón. Precio con IVA. €/kg.
ING-0260,BACALAO CALLOS SALMUERA 500G,0.0,,PENDIENTE,,,,2026-06-13,,Callos de bacalao salmuera 500 g no localizados con precio oficial claro.
ING-0204,BACALAO COCOCHAS,5.0,,PENDIENTE,,,,2026-06-13,,Cocochas de bacalao no localizadas con precio oficial claro.
ING-0261,BACALAO COCOCHAS 400 G,5.0,,PENDIENTE,,,,2026-06-13,,Cocochas de bacalao 400 g no localizadas con precio oficial claro.
ING-0148,BACALAO LIMPIO cortado descongelado a la sal 500 g,5.0,19.9,CONSUM,Filete de bacalao precio aprox.,19.9,1 kg,2026-06-13,https://tienda.consum.es/es/p/filete-de-bacalao/7108314,Precio con IVA. €/kg. Producto equivalente a bacalao limpio cortado.
ING-0205,BACALAO LOMO 2K PUNTO DE SAL,3.0,28.54,MAKRO,Icelandic lomo bacalao +300 g caja 2 kg,57.08,2 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X169902/0032/0021/Icelandic-Lomo-bacalao-%2B300g-2Kg,Precio con IVA/IGIC incluido. Convertido a €/kg.
