codigo,descripcion,merma,precio_unidad,proveedor_precio,formato_compra,precio_original,unidad_original,fecha_precio,url_precio,observaciones_precio
ING-0709,ACEITE DE COCO 1L,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: aceite de coco ya tratado en lote01. No actualizar aquí.
ING-0712,ACEITE NUEZ,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: aceite de nuez ya quedó pendiente en lote01. No actualizar aquí.
ING-0520,ACETATO ROLLO8 CM X 50 M,0.0,,PENDIENTE,,,,2026-06-13,,"Material de presentación, envase o consumible. Reservar para lote específico de packaging/costes indirectos; no actualizar como ingrediente."
ING-0521,AGAR AGAR,0.0,68.32,MAKRO,SOSA Ingredients Agar-Agar 500 g,34.16,500 g,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X145419/0032/0021/Sosa-Ingredients-agar-500g,Precio con IVA/IGIC incluido. Convertido a €/kg.
ING-0522,AGUA DE AZAHAR 1L,0.0,,PENDIENTE,,,,2026-06-13,,Agua de azahar 1 L no localizada con precio oficial claro; no sustituyo por aroma pequeño de repostería.
ING-0523,ALBARICOQUE mitad congelado,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado/fruta: albaricoque congelado ya revisado en lote06. No actualizar aquí.
ING-0524,ALBUMINA EN POLVO 5OO G SOSA,0.0,,PENDIENTE,,,,2026-06-13,,Albúmina en polvo Sosa 500 g no localizada con precio oficial claro en fuentes objetivo.
ING-0525,ALMENDRA ENTERA REPELEDA,1.0,15.38,MAKRO,METRO Chef almendra cruda repelada bolsa 1 kg,15.38,1 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X155253/0032/0021/Almendra-cruda-repelada-MAKRO-CHEF-bolsa-1kg,Duplicado de lote01; precio con IVA/IGIC incluido. €/kg.
ING-0526,ALMENDRA FILETEADA 1K,0.0,35.92,CONSUM,VAHINÉ almendras laminillas bolsa 125 g,4.49,125 g,2026-06-13,https://tienda.consum.es/es/c/despensa/desayuno-dulces-cafe/reposteria-para-preparar/decoracion-postres/5254,Producto equivalente a almendra fileteada. Precio con IVA. €/kg indicado por tienda.
ING-0527,ALMENDRA GRANILLO,0.0,15.5,MAKRO,METRO Chef almendra granillo cubo 500 g,7.75,500 g,2026-06-13,https://tienda.makro.es/shop/store/pv/BTY-X163118/0032/0021/METRO-Chef-almendra-granillo-cubo-500g,Precio con IVA/IGIC incluido según ficha/listado. Convertido a €/kg.
ING-0529,ALMENDRA MOLIDA MARCONA,0.0,17.2,CONSUM,CONSUM almendra molida bolsa 125 g,2.15,125 g,2026-06-13,https://tienda.consum.es/es/c/despensa/desayuno-dulces-cafe/reposteria-para-preparar/decoracion-postres/5254,Equivalente a almendra molida; no específica Marcona. Precio con IVA. €/kg indicado por tienda.
ING-0528,ANACARDO CRUDO 150G,0.0,14.96,MAKRO,METRO Chef anacardo al natural bolsa 500 g,7.48,500 g,2026-06-13,https://tienda.makro.es/shop/category/alimentaci%C3%B3n-general/despensa/snacks/frutos-secos?facets=delivery_mode%3APICKUP,Precio con IVA/IGIC incluido en listado. Convertido a €/kg.
ING-0530,ARANDANO CONGELADO 1k,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: arándano congelado revisado en lote06. No actualizar aquí.
ING-0531,AROMA DE VAINILLA 125 ML,0.0,22.45,CONSUM,VAHINE aroma vainilla 200 ml,4.49,200 ml,2026-06-13,https://tienda.consum.es/es/p/aroma-vainilla/7217263,Precio con IVA. €/L indicado por tienda.
ING-0532,AVELLANAS REPELADO TOSTADO 1K,0.0,31.3,MAKRO,METRO Chef avellana repelada tostada bolsa 1 kg,31.3,1 kg,2026-06-13,https://tienda.makro.es/ordercapture/uidispatcher/static/shop/pv/BTY-X225170/0032/0021/METRO-Chef-Avellana-repelada-tostada-bolsa-1Kg,Precio con IVA/IGIC incluido. €/kg.
ING-0533,AZUCAR ANTIAPELMA GLAS 1K,0.0,5.2,CONSUM,Azúcar glace bote 500 g,2.6,500 g,2026-06-13,https://tienda.consum.es/es/p/harina-de-trigo-reposteria/7426083,Precio con IVA. €/kg indicado en recomendados de producto.
ING-0534,AZUCAR ANTIAPELMA.15kg,0.0,,PENDIENTE,,,,2026-06-13,,Azúcar antiapelmazante 15 kg no localizada con precio oficial claro en fuentes objetivo.
ING-0535,AZUCAR ANTIHUMEDAD 5K,0.0,,PENDIENTE,,,,2026-06-13,,Azúcar antihumedad 5 kg no localizada con precio oficial claro en fuentes objetivo.
ING-0536,AZUCAR BLANQUILLA,0.0,0.95,CONSUM,AZUCARERA azúcar blanco paquete 1 kg,0.95,1 kg,2026-06-13,https://tienda.consum.es/es/p/azucar-blanco-paquete/2453884,Precio con IVA. €/kg.
ING-0537,AZÚCAR ISOMALT800G,0.0,,PENDIENTE,,,,2026-06-13,,Isomalt 800 g no localizado con precio oficial claro en fuentes objetivo.
ING-0538,AZUCAR MORENO,0.0,1.9,CONSUM,AZUCARERA azúcar moreno paquete 1 kg,1.9,1 kg,2026-06-13,https://tienda.consum.es/es/p/azucar-moreno-paquete/7384196,Precio con IVA. €/kg.
ING-0923,AZUCAR MORENO SOBRES 500 UNI,0.0,0.0189,MAKRO,RIOBA azúcar moreno en sobre 600 uds x 6 g,11.36,600 uds,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X206727/0032/0021/RIOBA-Az%C3%BAcar-moreno-en-sobre-600-ud.-x-6g,Equivalente no exacto a 500 uds. Precio con IVA/IGIC incluido. Normalizado a €/sobre.
ING-0922,AZUCAR SOBRES 1000 UNI,0.0,0.0126,MAKRO,RIOBA azúcar blanco monodosis 1000 uds x 6 g,12.64,1000 uds,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X206726/0032/0021/RIOBA-Az%C3%BAcar-blanco-en-sobre-monodosis-1000-ud.-x-6g,Precio con IVA/IGIC incluido. Normalizado a €/sobre.
