codigo,descripcion,merma,precio_unidad,proveedor_precio,formato_compra,precio_original,unidad_original,fecha_precio,url_precio,observaciones_precio
ING-0521,AGAR AGAR,0.0,68.32,MAKRO,SOSA Ingredients agar-agar 500 g,34.16,500 g,2026-06-13,https://tienda.makro.es/shop/store/pv/BTY-X145419/0032/0021/SOSA-INGREDIENTS-Agar-Agar-500g,Precio con IVA/IGIC incluido. Convertido a €/kg.
ING-0524,ALBUMINA EN POLVO 5OO G SOSA,0.0,,PENDIENTE,,,,2026-06-13,,Albúmina en polvo Sosa 500 g: no localizado precio oficial claro en Makro/Consum/Mercadona durante esta revisión.
ING-0289,ALGA AGAR AGAR EN COPOS,0.0,,PENDIENTE,,,,2026-06-13,,Agar agar en copos: no sustituyo por agar agar en polvo sin revisión.
ING-0531,AROMA DE VAINILLA 125 ML,0.0,22.45,CONSUM,VAHINÉ aroma vainilla 200 ml,4.49,200 ml,2026-06-13,https://tienda.consum.es/es/p/aroma-vainilla/7217263,Precio con IVA. Convertido a €/L. Equivalente no formato 125 ml.
ING-0303,"BROTES SAKURA MIX 1,6KG makro",5.0,14.3312,MAKRO,"Brote Sakura caja 1,6 kg",22.93,"1,6 kg",2026-06-13,https://tienda.makro.es/shop/pv/BTY-X56814/0032/0021/Brote-sakura-caja-1-6kg,"Precio con IVA/IGIC incluido. Convertido a €/kg. Producto fresco delicado, merma por selección."
ING-0549,CACAO POLVO,0.0,29.6,CONSUM,VALOR cacao puro en polvo sin azúcar 250 g,7.4,250 g,2026-06-13,https://tienda.consum.es/es/p/cacao-puro-en-polvo-sin-azucar/7114630,Precio con IVA. €/kg indicado por tienda.
ING-0746,CALDO VEGETAL POLVO KNORR 1KG,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: caldo vegetal Knorr tratado en lote09. No actualizar aquí para evitar sobrescritura.
ING-0220,CARACOLES TIERRA MORO COCIDO,5.0,,PENDIENTE,,,,2026-06-13,,Duplicado: caracoles tratados en lote04. No actualizar aquí.
ING-0566,COCO EN POLVO,0.0,,PENDIENTE,,,,2026-06-13,,Coco en polvo: no localizado producto exacto; no sustituyo por coco rallado.
ING-0331,COLIFLOR MORADA,30.0,,PENDIENTE,,,,2026-06-13,,Duplicado: coliflor morada tratada en lote05 verduras.
ING-0332,COLIFLOR unidades,30.0,,PENDIENTE,,,,2026-06-13,,Duplicado: coliflor tratada en lote05 verduras.
ING-0568,COLORANTE Amarillo huevo PASTA 200G,0.0,,PENDIENTE,,,,2026-06-13,,"Colorante en pasta 200 g: no actualizado porque las fuentes localizadas eran colorantes en polvo/laca, no el formato exacto de pasta."
ING-0569,COLORANTE BLANCO PASTA COSMO,0.0,,PENDIENTE,,,,2026-06-13,,"Colorante en pasta 200 g: no actualizado porque las fuentes localizadas eran colorantes en polvo/laca, no el formato exacto de pasta."
ING-0570,COLORANTE MARRON PASTA 200G,0.0,,PENDIENTE,,,,2026-06-13,,"Colorante en pasta 200 g: no actualizado porque las fuentes localizadas eran colorantes en polvo/laca, no el formato exacto de pasta."
ING-0571,COLORANTE NARANJA PASTA 200 G,0.0,,PENDIENTE,,,,2026-06-13,,"Colorante en pasta 200 g: no actualizado porque las fuentes localizadas eran colorantes en polvo/laca, no el formato exacto de pasta."
ING-0572,COLORANTE NEGRO PASTA 200 G,0.0,,PENDIENTE,,,,2026-06-13,,"Colorante en pasta 200 g: no actualizado porque las fuentes localizadas eran colorantes en polvo/laca, no el formato exacto de pasta."
ING-0573,COLORANTE ROJO PASTA 200G,0.0,,PENDIENTE,,,,2026-06-13,,"Colorante en pasta 200 g: no actualizado porque las fuentes localizadas eran colorantes en polvo/laca, no el formato exacto de pasta."
ING-0574,COLORANTE VERDE PASTA 200G,0.0,,PENDIENTE,,,,2026-06-13,,"Colorante en pasta 200 g: no actualizado porque las fuentes localizadas eran colorantes en polvo/laca, no el formato exacto de pasta."
ING-0575,COLORANTE VIOLETA PASTA (AZUL),0.0,,PENDIENTE,,,,2026-06-13,,"Colorante en pasta 200 g: no actualizado porque las fuentes localizadas eran colorantes en polvo/laca, no el formato exacto de pasta."
ING-0576,COLORANTEAMARILLO LIMÓN PASTA 200g,0.0,,PENDIENTE,,,,2026-06-13,,"Colorante en pasta 200 g: no actualizado porque las fuentes localizadas eran colorantes en polvo/laca, no el formato exacto de pasta."
ING-0581,DISCO ORO BOR LISO 26 CM,0.0,,PENDIENTE,,,,2026-06-13,,Disco oro 26 cm: decoración/packaging; no conviene actualizar como ingrediente alimentario sin decidir unidad de coste.
ING-0758,ESPECIAS AJO EN POLVO 85 G,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: ajo en polvo tratado en lote09 almacén seco/especias.
ING-0762,ESPECIAS CEBOLLA EN POLVO 60 GR,0.0,,PENDIENTE,,,,2026-06-13,,Cebolla en polvo 60 g: sigue pendiente; no localizado precio oficial claro.
ING-0765,ESPECIAS COLORANTE ALIMENTARIO,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: colorante alimentario tratado en lote09.
