codigo,descripcion,merma,precio_unidad,proveedor_precio,formato_compra,precio_original,unidad_original,fecha_precio,url_precio,observaciones_precio
ING-0709,ACEITE DE COCO 1L,0.0,15.11,CONSUM,"Aceite de coco virgen extra ecológico 0,37 L",5.59,"0,37 L",2026-06-13,https://tienda.consum.es/es/p/aceite-de-coco-virgen-extra-ecologico/7405467,"Precio con IVA. Convertido a €/L. Producto equivalente, no formato 1 L."
ING-0710,ACEITE DE TRUFA 250 ML,0.0,15.64,MAKRO,METRO Chef preparado de AOVE con trufa 250 ml,3.91,250 ml,2026-06-13,https://tienda.makro.es/shop/store/pv/BTY-X213525/0032/0021/METRO-Chef-Preparado-de-aceite-de-oliva-virgen-extra-con-trufa-250ml,Precio con IVA. Convertido a €/L.
ING-0711,ACEITE GIRASOL,0.0,1.69,CONSUM,Aceite de girasol botella 5 L,8.45,5 L,2026-06-13,https://tienda.consum.es/es/p/aceite-de-girasol-botella/7285179,Precio con IVA. €/L indicado por tienda.
ING-0712,ACEITE NUEZ,,,PENDIENTE,,,,2026-06-13,,No encontrado precio oficial claro en Makro/Consum/Mercadona en esta primera búsqueda. Revisar proveedor alternativo o sustituir por aceite de frutos secos disponible.
ING-0713,ACEITE OLIVA 0.4 1l,0.0,4.95,CONSUM,"Aceite de oliva 0,4º botella 1 L",4.95,1 L,2026-06-13,https://tienda.consum.es/es/c/despensa/conservas-aceites-condimentos/aceite-vinagre/aceite-de-oliva-intenso-suave/4000,Precio con IVA. €/L indicado por tienda.
ING-0714,ACEITE OLIVA INTENSO,0.0,4.15,CONSUM,Aceite de oliva intenso 1 L,4.15,1 L,2026-06-13,https://tienda.consum.es/es/p/aceite-de-oliva-intenso/7285190,Precio con IVA. €/L indicado por tienda.
ING-0715,ACEITE OLIVA MONODOSIS 10MLX144U,0.0,11.9514,MAKRO,Capricho Andaluz AOVE ecopack 144 monodosis x 10 ml,17.21,"144 x 10 ml = 1,44 L",2026-06-13,https://tienda.makro.es/shop/pv/BTY-X162210/0032/0021/Capricho-andaluz-Aceite-oliva-virgen-extra-ecopack-contiene-144-monodosis-10ml,"Precio con IVA. Convertido a €/L desde 1,44 L totales."
ING-0716,ACEITE SESAMO BLUE DRAGON 150ML,0.0,19.95,CONSUM,Aceite de sésamo Tiger Khan 200 ml,3.99,200 ml,2026-06-13,https://tienda.consum.es/es/c/despensa/cocina-internacional/asiatico/4509,"Precio con IVA. Producto equivalente a aceite de sésamo, no marca Blue Dragon ni formato 150 ml."
ING-0282,AJETE CHINO/cebolla tierna china,15.0,9.3333,MAKRO,Cebolleta china manojo 150 g,1.4,150 g,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X202723/0032/0021/Cebolleta-china-manojo-150gramos,"Precio con IVA. Convertido a €/kg. Merma estimada por raíces, puntas y hojas deterioradas."
ING-0525,ALMENDRA ENTERA REPELEDA,1.0,15.38,MAKRO,METRO Chef almendra cruda repelada bolsa 1 kg,15.38,1 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X155253/0032/0021/Almendra-cruda-repelada-MAKRO-CHEF-bolsa-1kg,Precio con IVA. €/kg. Merma mínima estimada por rotura/cribado.
