codigo_actual,codigo_nuevo_propuesto,tipo_propuesto,familia_codigo_propuesta,familia_nombre_propuesta,subfamilia_propuesta,familia_actual,descripcion,unidad_medida,merma,precio_unidad,proveedor_precio,formato_compra,cantidad_formato_compra,unidad_formato_compra,precio_formato_compra,fecha_precio,url_precio,observaciones_precio,estado_revision,motivo_revision
ENVASE,ING-VAR-0001,ING,VAR,Varios / revisar,Varios,VARIOS,nan,kg,0.00,0.0000,,,,,,,,,revisar,descripcion vacía o no informativa; familia actual sin clasificar/varios
ING-0001,ING-CAR-0001,ING,CAR,Carnes y aves,Carnes y aves,CARNES,CARCASA POLLO,kg,0.00,1.5500,CONSUM,CONSUM carcasas de pollo,1.0000,kg,1.5500,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria/aves/2156,"Precio con IVA. €/kg. Uso para fondos, merma operativa 0%.",propuesto,familia o palabras clave carnes
ING-0002,ING-CAR-0002,ING,CAR,Carnes y aves,Carnes y aves,CARNES,CODORNIZ EXTRA CONG,kg,0.00,1.2300,,,,,,,,,propuesto,familia o palabras clave carnes
ING-0003,ING-CAR-0003,ING,CAR,Carnes y aves,Carnes y aves,CARNES,"CONEJO EVISCERADO 1-1,5K",kg,0.00,5.1700,,,,,,,,,propuesto,familia o palabras clave carnes
ING-0004,ING-CAR-0004,ING,CAR,Carnes y aves,Carnes y aves,CARNES,FOIE ESCALOPES 160G CONGELADO,kg,0.00,8.4300,,,,,,,,,propuesto,familia o palabras clave carnes
ING-0005,ING-CAR-0005,ING,CAR,Carnes y aves,Carnes y aves,CARNES,"GALLINA 3,5K",kg,0.00,7.8600,,,,,,,,,propuesto,familia o palabras clave carnes
ING-0006,ING-CAR-0006,ING,CAR,Carnes y aves,Carnes y aves,CARNES,HIGADILLOS POLLO,kg,0.00,2.3000,,,,,,,,,propuesto,familia o palabras clave carnes
ING-0007,ING-CAR-0007,ING,CAR,Carnes y aves,Carnes y aves,CARNES,JAMON DE PATO MARTIKO 100G,kg,0.00,5.8700,,,,,,,,,propuesto,familia o palabras clave carnes
ING-0008,ING-CAR-0008,ING,CAR,Carnes y aves,Carnes y aves,CARNES,MAGRET PATO mercadona 380 G,kg,0.00,7.2200,,,,,,,,,propuesto,familia o palabras clave carnes
ING-0009,ENV-ENV-0001,ENV,ENV,Envases y packaging,Envases / consumibles,CARNES,MAGRET PATO CONGELADO 300GR +/- MAKRO CAJA 8 UNIDADES,kg,5.00,18.9800,MAKRO,Magret de pato congelado 8 uds x 300 g,0.3000,kg,18.9800,2026-06-13,https://tienda.makro.es/shop/store/pv/BTY-X41127/0032/0021/Magret-de-pato-congelado-8-unidades-precio-kg,Precio con IVA/IGIC incluido. €/kg. Merma baja por recorte/grasa si se limpia.,propuesto,palabras clave envase/packaging
ING-0010,ING-CAR-0009,ING,CAR,Carnes y aves,Carnes y aves,CARNES,"PATO 2,5Kjose gonzalez",kg,0.00,18.4000,,,,,,,,,propuesto,familia o palabras clave carnes
ING-0011,ING-CAR-0010,ING,CAR,Carnes y aves,Carnes y aves,CARNES,PATO FOIE CORRIENTE CONGELADO 450 G MAKRO,kg,0.00,16.5300,,,,,,,,,propuesto,familia o palabras clave carnes
ING-0012,ING-CAR-0011,ING,CAR,Carnes y aves,Carnes y aves,CARNES,PATO FOIE ENTERO EXTRA CONGELADO 500-700G MAKRO,kg,0.00,32.5900,,,,,,,,,propuesto,familia o palabras clave carnes
ING-0013,ING-CAR-0012,ING,CAR,Carnes y aves,Carnes y aves,CARNES,PATO FOIE ENTERO FRESCO 600 G MAKRO,kg,0.00,27.9000,,,,,,,,,propuesto,familia o palabras clave carnes
ING-0014,ING-CAR-0013,ING,CAR,Carnes y aves,Carnes y aves,CARNES,PATO MUSLO DE CONFIT CONGELADO MAKRO,kg,20.00,14.4062,MAKRO,Muslo confit de pato congelado caja 6 uds x 267 g,1.6000,kg,23.0500,2026-06-13,https://tienda.makro.es/shop/store/pv/BTY-X147408/0032/0021/Muslo-confit-de-pato-congelado-caja-6-ud-267g-%281600-g%29,"Precio con IVA/IGIC incluido. Convertido a €/kg desde caja 1,6 kg.",propuesto,familia o palabras clave carnes
ING-0015,ING-CAR-0014,ING,CAR,Carnes y aves,Carnes y aves,CARNES,PATO FOIE GRAS LONCHEADO 150 G mercadona,kg,0.00,7.4500,,,,,,,,,propuesto,familia o palabras clave carnes
ING-0016,ING-CAR-0015,ING,CAR,Carnes y aves,Carnes y aves,CARNES,PAVO MUSLO FRESCO 350-450 G unidad jamoncito,kg,0.00,0.8200,,,,,,,,,propuesto,familia o palabras clave carnes
ING-0017,ING-CAR-0016,ING,CAR,Carnes y aves,Carnes y aves,CARNES,PICADA POLLO 380G,kg,0.00,2.2200,,,,,,,,,propuesto,familia o palabras clave carnes
ING-0018,ING-CAR-0017,ING,CAR,Carnes y aves,Carnes y aves,CARNES,POLLO ALAS,kg,25.00,4.5000,CONSUM,CONSUM alas de pollo bandeja 750 g aprox.,1.0000,kg,4.5000,2026-06-13,https://tienda.consum.es/es/p/alas-de-pollo/5336235,Precio con IVA. €/kg. Merma por hueso.,propuesto,familia o palabras clave carnes
ING-0019,ING-CAR-0018,ING,CAR,Carnes y aves,Carnes y aves,CARNES,POLLO CUARTO DELANTERO 550 G UNIDAD,kg,30.00,4.0900,CONSUM,CONSUM pollo troceado,1.0000,kg,4.0900,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria/aves/2156,Equivalente a cuarto delantero/troceado. Precio con IVA. €/kg. Merma por hueso.,propuesto,familia o palabras clave carnes
ING-0020,ING-CAR-0019,ING,CAR,Carnes y aves,Carnes y aves,CARNES,POLLO CUARTO TRASERO MUSLOS +/- 400gr,kg,30.00,3.4900,CONSUM,CONSUM cuarto trasero de pollo,1.0000,kg,3.4900,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria/aves/2156,Precio con IVA. €/kg. Merma por hueso.,propuesto,familia o palabras clave carnes
ING-0021,ING-CAR-0020,ING,CAR,Carnes y aves,Carnes y aves,CARNES,"POLLO LIMPIO ENTERO 1,5k/UNIDAD",kg,35.00,3.6000,CONSUM,Pollo limpio origen España pieza precio aprox.,1.0000,kg,3.6000,2026-06-13,https://tienda.consum.es/es/p/pollo-limpio-origen-espana/4378345,Precio con IVA. €/kg. Merma por hueso/carcasa.,propuesto,familia o palabras clave carnes
ING-0022,ING-CAR-0021,ING,CAR,Carnes y aves,Carnes y aves,CARNES,"POLLO LIMPIO ENTERO DE 2,5K/UNIDAD",kg,35.00,3.6000,CONSUM,Pollo limpio origen España pieza precio aprox.,1.0000,kg,3.6000,2026-06-13,https://tienda.consum.es/es/p/pollo-limpio-origen-espana/4378345,Precio con IVA. €/kg. Merma por hueso/carcasa.,propuesto,familia o palabras clave carnes
ING-0023,ING-CAR-0022,ING,CAR,Carnes y aves,Carnes y aves,CARNES,POLLO MOLLEJAS,kg,0.00,2.3000,,,,,,,,,propuesto,familia o palabras clave carnes
ING-0024,ING-CAR-0023,ING,CAR,Carnes y aves,Carnes y aves,CARNES,POLLO JAMONCITO 105 G /UNIDAD,kg,30.00,3.2900,MAKRO,Jamoncitos de pollo 130-150 g congelados caja 10 kg,0.1500,kg,3.2900,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X182714/0032/0021,Precio con IVA/IGIC incluido. €/kg. Merma por hueso.,propuesto,familia o palabras clave carnes
ING-0025,ING-CAR-0024,ING,CAR,Carnes y aves,Carnes y aves,CARNES,POLLO PECHUGA FILETEADA,kg,2.00,8.0000,CONSUM,CONSUM filetes pechuga de pollo,1.0000,kg,8.0000,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria/aves/2156,Precio con IVA. €/kg.,propuesto,familia o palabras clave carnes
ING-0026,ING-CAR-0025,ING,CAR,Carnes y aves,Carnes y aves,CARNES,POLLO PECHUGA LIMPIA,kg,3.00,7.2500,CONSUM,CONSUM pechugas de pollo origen España,1.0000,kg,7.2500,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria-corte/aves/4060,Precio con IVA. €/kg.,propuesto,familia o palabras clave carnes
ING-0027,ING-CAR-0026,ING,CAR,Carnes y aves,Carnes y aves,CARNES,POLLO PICANTON EXTRA mercadona 400g,kg,0.00,2.7400,,,,,,,,,propuesto,familia o palabras clave carnes
ING-0028,ING-CAR-0027,ING,CAR,Carnes y aves,Carnes y aves,CARNES,POLLO TRASEROS congelados MAKRO,kg,30.00,2.4900,MAKRO,Trasero de pollo congelado a granel caja 10 kg,1.0000,kg,2.4900,2026-06-13,https://tienda.makro.es/shop/category/alimentaci%C3%B3n-general/congelados/carne-congelada/pollos-y-aves,Precio con IVA/IGIC incluido. €/kg. Merma por hueso.,propuesto,familia o palabras clave carnes
ING-0029,ING-CAR-0028,ING,CAR,Carnes y aves,Carnes y aves,CARNES,PULARDA 2K CONGELADA MAKRO,kg,0.00,10.0000,,,,,,,,,propuesto,familia o palabras clave carnes
ING-0030,ING-CAR-0029,ING,CAR,Carnes y aves,Carnes y aves,CARNES,ALETA,kg,0.00,,,,,,,,,,propuesto,familia o palabras clave carnes
ING-0031,ING-CAR-0030,ING,CAR,Carnes y aves,Carnes y aves,CARNES,BABILLA entera,kg,0.00,12.9900,,,,,,,,,propuesto,familia o palabras clave carnes
ING-0032,ING-CAR-0031,ING,CAR,Carnes y aves,Carnes y aves,CARNES,CADERA entera,kg,0.00,14.9900,,,,,,,,,propuesto,familia o palabras clave carnes
ING-0033,ING-CAR-0032,ING,CAR,Carnes y aves,Carnes y aves,CARNES,CANAL MEDIA TERNERA,kg,0.00,6.0000,,,,,,,,,propuesto,familia o palabras clave carnes
ING-0034,ING-CAR-0033,ING,CAR,Carnes y aves,Carnes y aves,CARNES,CARRILLADA TERNERA,kg,6.00,17.5000,CONSUM,Carrillada de vacuno congelada pieza precio aprox.,1.0000,kg,17.5000,2026-06-13,https://tienda.consum.es/es/p/carrillada-de-vacuno-congelada/7468049,Precio con IVA. €/kg. Merma estimada por limpieza ligera.,propuesto,familia o palabras clave carnes
ING-0035,ING-CAR-0034,ING,CAR,Carnes y aves,Carnes y aves,CARNES,CECINA LONCHEADA 200G,kg,0.00,4.6700,,,,,,,,,propuesto,familia o palabras clave carnes
ING-0036,ING-CAR-0035,ING,CAR,Carnes y aves,Carnes y aves,CARNES,CONTRA/PLA,kg,0.00,10.9900,,,,,,,,,propuesto,familia o palabras clave carnes
ING-0037,ING-CAR-0036,ING,CAR,Carnes y aves,Carnes y aves,CARNES,COSTILLA ENTERA,kg,25.00,7.9900,CONSUM,Costilla de cerdo,1.0000,kg,7.9900,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria/cerdo/2159,Precio con IVA. €/kg. Merma estimada por hueso.,propuesto,familia o palabras clave carnes
ING-0038,ING-CAR-0037,ING,CAR,Carnes y aves,Carnes y aves,CARNES,DOBLADA,kg,0.00,10.0000,,,,,,,,,propuesto,familia o palabras clave carnes
ING-0039,ING-CAR-0038,ING,CAR,Carnes y aves,Carnes y aves,CARNES,ESPALDILLA / LLATA,kg,0.00,8.0000,,,,,,,,,propuesto,familia o palabras clave carnes
ING-0040,ING-CAR-0039,ING,CAR,Carnes y aves,Carnes y aves,CARNES,HAMBURGUESA MINI VACUNO 25 G X 20 UNIDADES,kg,0.00,3.4500,,,,,,,,,propuesto,familia o palabras clave carnes
ING-0041,ING-CAR-0040,ING,CAR,Carnes y aves,Carnes y aves,CARNES,HIGADO TERNERA,kg,0.00,,,,,,,,,,propuesto,familia o palabras clave carnes
ING-0042,ING-CAR-0041,ING,CAR,Carnes y aves,Carnes y aves,CARNES,HUESOS RODILLA TERNERA,kg,0.00,6.8800,MAKRO,METRO Chef huesos añojo bandeja precio kg,1.0000,kg,6.8800,2026-06-13,https://tienda.makro.es/shop/category/frescos/carne/casquer%C3%ADa/vacuno,"Precio con IVA/IGIC incluido. Uso para fondos, merma operativa 0%.",propuesto,familia o palabras clave carnes
ING-0043,ING-CAR-0042,ING,CAR,Carnes y aves,Carnes y aves,CARNES,HUESOS TERNERA,kg,0.00,6.8800,MAKRO,METRO Chef huesos añojo bandeja precio kg,1.0000,kg,6.8800,2026-06-13,https://tienda.makro.es/shop/category/frescos/carne/casquer%C3%ADa/vacuno,"Precio con IVA/IGIC incluido. Uso para fondos, merma operativa 0%.",propuesto,familia o palabras clave carnes
ING-0044,ING-CAR-0043,ING,CAR,Carnes y aves,Carnes y aves,CARNES,LENGUA CONGELADA,kg,0.00,4.9900,,,,,,,,,propuesto,familia o palabras clave carnes
